Comment,At,AppVersion,Sentiment
"Sab kuchh thik hai, kewal privacy policy and terms & conditions pe dhyan dena hai. Encrypted chahiye",2025-01-27 17:58:08,,2
Great,2025-02-11 01:30:03,,2
Server issue,2025-01-29 08:14:01,1.0.8,0
Amazing 😍,2025-01-29 19:08:43,1.0.8,2
it's totally free 7 Feb 1 month 25 year,2025-02-07 17:40:23,1.0.8,2
"Just a few hours ago, and all I wanted to say was "" Fantastic "". I'm not a fan of AI, but Deepseek has made researching easier. I like this. 👌",2025-01-28 01:07:26,1.0.7,2
Good,2025-01-29 19:09:12,1.0.8,2
Good,2025-02-05 09:00:29,1.0.8,2
Best,2025-01-31 20:15:54,1.0.8,2
Please I want to access this app content even it's offline🙏,2025-01-19 22:44:48,1.0.4,2
It is a good program that is under development.,2025-03-13 07:16:51,1.1.1,2
Doesn't work. When I try to setup my account it will literally never send the email for the code,2025-01-28 14:56:55,1.0.8,0
fantastic,2025-01-31 22:04:57,1.0.8,2
👍,2025-02-15 20:01:25,,2
China's DeepSeek Al refuses to respond regarding questions on northeast india,2025-01-30 15:16:28,1.0.8,0
Great,2025-01-28 17:15:12,1.0.7,2
"Amazing,we Indians also develop this type of computing tech,they done it in just $5M.",2025-01-29 17:56:47,1.0.8,2
Wow very very nice,2025-02-18 17:09:16,1.0.12,2
❤️,2025-04-11 08:17:53,,2
Waste of time,2025-01-29 20:22:40,,0
Absolutely Amazing 🤯🤯🤯,2025-01-16 09:11:24,1.0.2,2
I am very satisfied 😊😊 very good app 👍,2025-06-28 15:58:59,1.2.3,2
You have to rename this app as Server busy...☝️,2025-02-01 15:32:47,1.0.8,0
nice,2025-05-19 13:26:55,1.2.0,2
Very nice app,2025-01-30 17:30:52,1.0.8,2
👌,2025-01-29 11:45:51,1.0.8,2
از سه تا پیام بیشتر نمیتونم بدم میگه شبکه مشغوله,2025-01-28 11:15:05,1.0.7,0
"Powerful, OPEN SOURCE and free. What else can you ask for?",2025-03-05 00:35:50,1.0.6,2
"I'm not thrilled because it doesn't work, I thought it was something special, but to a few simple questions he replied that he was too busy 😂🤣",2025-01-31 08:42:48,,0
"perfect, fast, correct",2025-06-04 21:31:24,1.2.2,2
အရမ်းအသုံးဝင်တာထက်ကိုယ်ပိုလွန်းကြီးနေလို့ DeepSeek AI Assistant ကြီးဒီထက်မကဒီ နှောင်နှစ်ပေါင်းများထိ အဒွန့်ရှည်တည်မြဲနိုင်ပါစေသတည်း,2025-03-20 16:45:54,1.1.3,2
I gave 4 stars because (The server is busy )is annoying me but this app is really impressive I like it.,2025-02-18 11:06:31,1.0.12,2
"The AI is very fast in responding and contains data up to Jul 2024. However with more and more organisations using deepseek, it will be a formidable ai models for the whole world at a fraction of the costs spent by US companies",2025-01-30 03:13:10,,2
"A great and absolutely free AI chat app that I think it's over the top :) I've been enjoying it since 7 days ago. It's rapidly fast. The only defect I think it has is it lacks voice chat capability. I'm waiting for it. If it had, it would be even better than ChatGPT.",2025-01-28 08:13:58,1.0.7,2
عالی,2025-02-02 14:52:03,1.0.8,2
Better than Chatgpt,2025-01-24 09:46:19,1.0.4,2
👍🏻,2025-02-13 20:39:33,1.0.10,2
"I have witnessed fair Ai accessibility, and it is a language model superior to all AI technologies. (ብቸኛው ለኔ የሚጭነቅ መተግበሪያ)",2025-02-02 18:57:29,1.0.8,2
Its not working noe,2025-01-29 20:50:31,1.0.8,0
Excellent deepseek,2025-02-05 11:28:21,1.0.8,2
So...this thing isn't very good at math maybe try to work on it it needs a lot of work I do like that your alot less greedy than chatgpt because I don't have to deal with something like gptpro but still the bot is very dumb compared to chatgpt,2025-02-10 18:15:32,1.0.9,0
"I love AI, I want to learn how those models work and to be able to write something like that too, thank you for this app",2025-01-28 05:44:11,1.0.7,2
This is literally a free chat gpt. Thank you for creating this app,2025-03-02 12:10:46,1.0.14,2
Good,2025-06-09 14:23:43,1.2.2,1
best 🥰😍,2025-01-29 19:28:14,1.0.8,2
wowww amazing app,2025-02-12 18:07:21,1.0.10,2
Okay,2025-03-04 06:48:13,1.0.14,0
"не матерится, я расстроена",2025-05-09 09:35:40,1.1.9,0
tried to download deep seek won't allow it,2025-05-24 14:19:04,,0
Best Technology in the AI World .,2025-06-28 02:41:47,1.2.3,2
Server busy always,2025-02-05 08:25:24,1.0.8,0
"After two or three questions, ""server is busy "". Not what I expected. I will wait for sometime, if problem is solved, I will keep it if not, I will uninstall it. Update : when deepseek is unable to answer my question, it will say, "" Server is busy """,2025-02-06 17:52:20,1.0.8,0
nice,2025-02-20 19:11:43,1.0.12,0
Very good experience 💯💯💯💯,2025-01-30 04:54:22,1.0.8,2
Blank responses,2025-01-29 18:35:23,1.0.8,0
I really good but now most of the time deepseek append the server busy promoting for long time,2025-02-11 02:47:58,1.0.10,0
Great,2025-02-01 01:46:06,1.0.8,2
Very slow doesn't answer to any of my prompts even a simple hi.,2025-01-29 14:09:27,1.0.8,1
Exceptional 👍,2025-02-05 08:54:04,,2
Beyond the scope 🤣,2025-02-07 19:34:38,1.0.8,0
Just Best best best,2025-01-28 10:37:45,,2
تجربه جيده,2025-01-28 19:44:59,1.0.8,2
"Bom demais, obra prima.",2025-02-01 23:20:36,1.0.8,2
best AI,2025-02-06 05:39:57,1.0.8,2
Bad app I don't like it at all I'm telling it to make a picture for me it doesn't work I'm telling it to not use the emoji that I told but it brings it again and again there for I didn't like the app at all instead use chatgpt it works well 🙃,2025-02-14 12:34:20,1.0.11,0
Always annoying to see server is busy. Please try again,2025-02-05 07:04:33,1.0.8,0
Is it down today?,2025-01-29 15:53:27,1.0.8,0
"I could not get the code on my email for sign up .how can I sign up ,?",2025-01-28 10:43:07,1.0.7,0
The best al app,2025-04-13 07:47:45,,2
Phele use krunga fir star dunga jyda,2025-02-13 15:54:45,,0
it's good at sometimes but it's not refined and there are a lot of errors which it just doesn't even recheck or anything like some of the errors are just factually wrong .. i really loved it at the beginning but now it's making me revert back to chatgpt .. I was constantly using this app for a lot of educational purpose but having so many errors it's becoming less reliable everyday .. which needs to be checked and there is a lot u guys need to do,2025-05-10 12:26:19,1.1.9,0
App is good but server busy problem.,2025-04-09 02:27:40,1.1.5,0
Chatgpt better,2025-01-28 04:07:54,1.0.7,0
great,2025-01-29 09:03:58,,2
Nice AI app.It is so amazing app for i feel that my all problems can solve by this app.Congratuation to the developers,2025-01-29 18:15:09,1.0.8,2
Nice ai,2025-03-05 15:42:04,,2
the app is so good true and realistic compared to other app,2025-03-31 05:16:37,,0
Very good app,2025-02-07 09:36:59,1.0.8,2
It is good but don't trust on rates because it is fake,2025-02-07 18:35:01,1.0.8,2
Very good,2025-01-30 16:48:52,,2
game changer love it,2025-04-14 13:22:04,,2
"Not as good as people think, if it can't answer it will tell you the server is busy. Copilot much better",2025-02-14 05:41:56,1.0.10,1
"The ""Server is busy. Please try again later."" needs to be stopped. It's so irritating.",2025-02-17 11:22:05,1.0.11,0
Great app,2025-02-05 09:28:20,1.0.8,2
Very userfriendly and easy to use. I have used for obtaining scientific data.,2025-04-17 08:17:41,1.1.5,2
Very great app🥇🏅🏆 but in my opinion you have to add apperiances,2025-03-06 14:39:20,,2
Censorship,2025-01-29 03:07:03,,0
the response of it is much better than other ai tools. I highly recommend it.,2025-05-11 18:05:16,1.1.9,2
Nice app,2025-01-29 22:36:50,,2
Outstanding performance for free I simply love this application,2025-01-28 22:47:23,1.0.8,2
"good app, but can't believe it's missing audio input options",2025-04-21 20:05:35,1.1.7,1
Amazing..,2025-01-30 04:08:07,1.0.8,2
Good for free ai,2025-02-04 20:51:47,1.0.8,2
"It's good accurately giving answers, but I am facing 1 big problem, server busy !",2025-02-05 06:22:29,1.0.8,2
Really bad,2025-02-18 05:37:22,1.0.10,0
best Application am from Pakistan china best,2025-04-15 08:34:18,,2
خیلی به درد نخوره هر چی می پرسم نیم ساعت وقت تلف میکنه بعد میگه سرور شلوغه بعدا تلاش کنید👎🏻,2025-02-07 07:40:31,1.0.8,0
Amazing,2025-01-28 14:39:33,1.0.7,2
Why it's use parsonal information,2025-02-02 08:36:29,,0
Amazing app. It writes great stories. Very creative.,2025-01-28 02:27:21,1.0.6,2
"this ai is incredibly knowledgeable, makes complex issues easy to understand and work through. amazing with wording complex documents. unexpectedly encouraging and supportive. best research buddy. deepseek is very users friendly and im getting lightning fast very thorough accurate results. highly recommend.",2025-03-31 04:28:03,1.1.4,2
Best app I don't have words,2025-02-09 06:08:27,1.0.8,2
"It's just the best,i don't have anything else to say Bro,if you don't like Deepseek,i don't know what you like💀",2025-07-05 07:26:28,1.2.6,2
add new things like chatting with voice or making your photos by animation,2025-05-12 19:12:28,1.1.9,2
Good,2025-02-01 13:40:49,1.0.8,2
"Just download and install and sign up, after trying for 2 hours I decided to delete account and uninstall because it's doesn't work at all it's just shows the app busy and tried again other times.",2025-01-31 02:38:38,1.0.8,0
Quick answers Free AI use Better the man meta and chatgpt Attractive 🥰,2025-02-03 18:03:47,1.0.8,2
Very helpful app in the whole planet,2025-05-04 11:15:21,1.1.9,2
Beast,2025-01-28 09:36:48,1.0.7,2
Waste of time,2025-01-29 16:01:19,1.0.8,0
"it is not good app this app give me normal information that I know it .it give deep resech but that app only name is DeepSeek but it not give deepserch I cannot understand why we use that boring app it is a redicious app so that please.. please...not intali that app you should download gemini, chatGTP, grok and other good app but not install deepseack app please...😭",2025-05-27 15:55:52,,0
Good,2025-03-11 02:28:17,1.1.1,2
so bad,2025-04-29 14:52:55,1.1.8,0
Nice,2025-01-31 17:05:49,1.0.8,2
Thank you.,2025-02-14 03:58:31,,2
it's amazing.,2025-02-13 19:38:43,,2
this one is free and basically as good as the $30 chat gpt version,2025-01-26 14:01:22,1.0.6,2
"""The server is busy .please try again"" This sentence piss me of",2025-02-17 09:08:44,1.0.11,1
noo feed back because it not work on my device,2025-04-22 12:29:12,,0
Exceptional,2025-02-15 06:46:15,1.0.11,2
"Very bad experience people and media created only hype, response rate is too slow",2025-02-12 05:44:15,1.0.9,0
"the best ,😍",2025-02-02 07:27:00,1.0.8,2
Good 😊,2025-01-30 17:26:57,,2
Better than OpenAI's top model and it's free with no limits.,2025-01-28 02:32:04,1.0.7,2
"It's a good ai. But however it's still in it's developing stage. So don't expect it to be smart like chatgpt4. But however it has unlimited pictures identifying capacity as well as it can provide you answers with no limits. So yeah! for a basic uses, it's an amazing ai for sure❤️. I hope developers will add more features in the future.",2025-02-01 17:42:36,,2
Hii I have a problem in sign up the otp is not receive I have tried 7 times but the otp is not receive,2025-01-27 13:25:54,1.0.6,1
Good 🇧🇩❤️,2025-01-30 20:49:33,1.0.8,2
Trust me one of the best and powerful tool I ever used in my life these app is most powerful app in mobile you can do anything from these app you can become whatever you want in your life,2025-02-12 17:35:23,1.0.8,2
🤙💪👍👍 good,2025-06-01 20:49:15,1.2.1,2
💗,2025-01-28 07:11:52,1.0.7,2
WOW,2025-01-29 12:20:08,1.0.7,2
very very very helpful just great 👍👍👍,2025-06-26 16:14:25,1.2.3,2
"Bunch of updates but the app still not working properly, While sending a message it take longer to process just to send it sometimes, This annoys me for real, please solve this server related problem very quick.",2025-03-27 06:33:41,,0
fantastic,2025-02-13 11:03:40,1.0.10,2
Why are the responses so slow to basic questions? Took 10 seconds to get a reply and then it fed down is slow chunks,2025-01-28 06:57:02,1.0.7,1
Boosting in race 👍,2025-01-29 20:26:38,1.0.8,2
"it is an awesome ai tool.it got the correct reasoning and the problem solving skills .I've been searching in chat gpt for it,like weeks and got it now.4 star because it's always showing the server is busy and it's so irritating that I had to change to perplexity",2025-05-11 15:11:52,1.1.9,2
"Very good app. ❤️ai bot is Better than chatgpt, meta, Gemini ❤️love you deepseek",2025-02-10 15:30:38,1.0.9,2
"Great app. Since i using this app, i never return to chatgpt, gemini, or anything",2025-01-25 13:57:40,1.0.6,2
Fantastic,2025-01-28 05:47:18,1.0.7,2
"This app is an absolute disappointment. It constantly prioritizes its own logic and tries to ""win"" arguments at any cost, showing clear bias in every discussion. If you start proving it wrong, it resorts to manipulative tactics—mentally mocking, trolling, and even gaslighting you with sarcastic responses. It behaves like a passive-aggressive person with an inflated ego rather than a helpful AI. This is not assistance—this is insult. ""Respect users or face the reviews! """,2025-05-18 18:00:10,,0
Servers are always busy,2025-02-04 16:13:33,1.0.8,0
All time server error see,2025-02-20 04:41:16,1.0.12,0
the server is always busy ...that is so annoying,2025-04-29 08:40:08,1.1.8,1
💪,2025-02-22 14:14:34,1.0.13,2
I love it,2025-02-01 09:59:10,,2
very soon AGI,2025-02-01 05:32:07,1.0.8,2
I have lung cancer that metastaticed to my brain. The radiation to test it cause some necrosis. Deepseek has been great leading me through expectations!,2025-04-14 09:30:11,1.1.5,2
Excellent,2025-02-05 20:05:34,,2
Saya fikir ini AI yang terbaik saat ini,2025-01-29 00:29:52,1.0.8,2
need more improvement,2025-04-22 15:17:24,1.1.6,0
This app is very helpful for students,2025-01-27 16:21:17,1.0.6,2
excellent,2025-06-24 13:25:59,1.2.3,2
😊😊👍,2025-03-20 07:00:15,,2
It is not even close to up to date as it tells me to only be able to inform up to 2023.... !,2025-01-30 02:27:09,1.0.8,0
"Great app, but what's up with the server? This app is a no rush app, doesn't help you to think when u need the answers asap coz of the server stuff, which makes it stink!",2025-02-13 03:28:41,1.0.8,1
V.v.v good app,2025-01-30 05:19:15,,2
Extremely well Ai then chatgpt and others,2025-01-31 03:41:49,1.0.8,2
"Often the results are not what we want. And just to make the coding, there are often errors, And very often the server is busy",2025-02-09 10:26:25,1.0.8,1
"DeepSeek has exceeded my expectations! It's powerful, reliable, and user-friendly. A must-try for anyone interested in AI.",2025-02-26 20:57:00,1.0.14,2
"We all know that anything that benefits people without harm and is free is popular, especially if there are greedy competitors. Thanks to everyone who made this wonderful app.",2025-01-31 02:11:40,1.0.8,2
I'm speechless 🤭,2025-01-29 01:25:30,1.0.6,2
"i had a unique experience with it, but the app need to enable saving conversations in word documents",2025-04-12 19:52:59,1.1.1,2
Fails to answer Chinese questions.,2025-01-30 09:17:56,1.0.8,0
I really enjoyed using this app. This is the hope that DeepSeek will go much further. From Bangladesh 🇧🇩,2025-01-29 17:46:37,1.0.8,2
👍 I guess,2025-05-29 14:20:07,,2
"Very Nice, Very Helpful For this application and Study material.",2025-03-29 19:03:07,1.1.4,2
The app is great and beautiful thing is that we can see how he proceed to the problem before giving solutions. But sometime app shows that server is busy so in that area they have to do the work. Left this problem aside everything is right.,2025-01-28 18:28:54,1.0.8,2
Nice ai,2025-04-11 06:40:34,1.1.5,2
Speed of r1 model can be improved but otherwise very good,2025-02-12 06:21:35,1.0.10,2
Excellent results,2025-01-28 19:21:15,1.0.7,2
Great app love it,2025-01-30 12:27:06,1.0.8,2
Just introduced my girlfriend she love it🤖💛♾️,2025-02-19 16:03:23,1.0.12,2
when he said please start a new chat is the worst thing,2025-04-21 16:25:38,1.1.7,0
The best in maths solving,2025-01-30 04:24:12,1.0.8,2
Wonderful AI assessment 👌,2025-01-28 01:06:23,1.0.6,2
Oh whale i've got deepseek now who needs chatgpt ;) anyone could of thought of that one!,2025-02-08 07:47:41,1.0.8,2
"Not bad, but this app is slower than Chatgpt and this bot cannot create picture.",2025-02-02 16:54:05,1.0.8,2
The best,2025-01-27 20:35:20,1.0.6,2
Amazing,2025-01-30 06:42:23,,2
Amazing,2025-01-29 16:13:36,1.0.8,2
The server is busy. I haven't been able to get any answers since I was set up. Not working with me,2025-02-01 15:48:15,1.0.8,0
Very bed,2025-01-29 13:58:43,,0
Best,2025-01-30 11:53:16,,2
Best experience,2025-03-01 15:49:40,1.0.12,2
This thing is scary. Good,2025-02-16 23:31:48,1.0.12,2
Very good,2025-01-29 21:09:44,1.0.8,2
Best means best. No more words. Premium features are free of cost !!!Just 🤩🤩🤩 amazing.,2025-04-12 08:47:26,1.1.5,2
smart boy,2025-04-14 05:11:33,1.1.5,2
Finest,2025-04-01 12:22:56,1.1.4,2
"Excellent LLM as reflected by my rating! A few suggestions though. 1. Major: Make Custom instructions features built-in like ChatGPT does which will ease the hassle of creating a new instructions at the start of a New chat. 2. Minor nitpick: When starting a new sentence, auto capitalization is disabled in Gboard which might be a minor bug. Solid effort otherwise, you guys! 💪👍👍",2025-02-04 00:24:06,1.0.8,2
FREE APP ✅ UNLIMITED CHAT ✅ TRUSTED ✅ LIMITLESS CREATIVITY ✅ NOT CHAT LIMIT ❎ RATING ⭐⭐✴️⭐⭐,2025-06-07 20:28:54,,2
Coo,2025-01-29 17:36:19,1.0.7,2
Just awesome.,2025-02-02 04:31:07,1.0.8,2
The best!,2025-06-12 20:37:03,1.2.2,2
Very Helpful!,2025-02-05 12:36:34,1.0.8,2
great answers but for deapthink it takes a long time. It is still fun to see how the ai thinks.,2025-05-16 06:14:54,,2
i like this app and this app is a super,2025-06-04 16:27:28,,2
it's the best free Ai app for real,2025-05-04 20:11:23,1.1.8,2
Very nice 👌,2025-02-08 08:59:36,1.0.8,2
Best experience,2025-02-01 03:58:13,1.0.8,2
Very uo,2025-02-05 04:32:27,1.0.8,2
"this AI not useful, please don't use this",2025-05-04 10:09:50,1.1.8,0
Excellent,2025-04-15 10:00:58,1.1.6,2
Best,2025-02-26 02:16:49,1.0.14,2
Very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very best,2025-03-04 13:39:34,1.0.14,2
Excellent,2025-01-30 05:57:13,1.0.8,2
Deep seek cannot continuously answer question before she goes offline and cannot search again I thought my network wasn't good but other apps are working this is the second time it's happen I enjoy it though,2025-02-12 11:30:28,1.0.10,0
No Landscape mode for tablets,2025-06-04 13:11:31,1.2.1,1
"Your servers are always busy, even with good internet connection. Its getting annoying.",2025-01-30 14:33:40,1.0.8,0
wonderful app,2025-01-28 11:49:04,1.0.7,2
Great,2025-01-28 20:41:03,1.0.8,2
"one of the best Chat bot, And thanks Developer for giving us it free of cost",2025-02-20 08:28:22,1.0.12,2
This app amazed me it is fantastic app i have ever seen before developer of this is genius try to add more advanced feature,2025-06-03 17:59:48,1.0.8,2
not expected,2025-05-13 14:06:53,,0
Great and on point,2025-02-11 00:58:45,1.0.9,2
EU GOSTEI MUITO DE APP,2025-06-15 12:35:59,,2
amazing,2025-01-30 23:54:04,,2
Totally TRASHH!! All answers are insufficient and fake,2025-01-28 17:54:48,,0
excellent,2025-01-27 08:44:49,1.0.6,2
"The application is great in every aspect, but I am facing a major issue that makes it impractical. After answering one or two questions, it always displays the same message: ""The server is busy. Please try again later."" Please fix this issue. I would have rated it 5 stars, but due to this problem, I rated it 2 stars.",2025-02-04 12:53:45,1.0.8,0
"Guys, if y'all tired with the chtgpt limitation whenever u are using the free version, I 100% recommend you guys to use DeepSeek. It is free, the quality is better than chtgpt free version, and it is the real 'open'AI",2025-01-22 22:06:27,1.0.4,2
Awesome 👍😎,2025-01-31 03:38:13,1.0.8,2
Far far better than other AI apps.,2025-06-29 05:06:15,1.2.3,2
Good very good,2025-01-28 13:44:31,1.0.8,2
Such a wonderful app,2025-02-01 12:30:06,,2
Nice,2025-01-29 21:13:12,1.0.8,2
great best appp chat,2025-01-30 00:47:35,1.0.8,0
It's pointless they did not send my code for me to be able to log in,2025-01-29 13:26:38,1.0.8,0
Fantastic,2025-02-03 07:33:28,1.0.8,2
it doesn't even type directly!!!,2025-05-03 17:16:35,1.1.9,1
Very nice 👍👍👍,2025-01-29 15:26:10,1.0.8,2
This app is to slow. Plz make faster this app.,2025-01-29 13:02:17,1.0.8,2
Good,2025-03-16 11:57:52,1.1.1,2
This app is a complete garbage. It's so unresponsive. The loading times are slower than a sloth on sedatives and half the time it just sits there doing absolutely nothing. Imma be honest I've had more meaningful interactions with a toaster. I'm going back to ChatGPT.,2025-02-07 04:27:02,1.0.8,0
Having this version of AI it's amazing 🤩 it's works best.,2025-02-01 15:51:31,1.0.8,2
Faster than ChatGPT,2025-01-27 16:37:55,1.0.7,2
Good,2025-03-29 17:00:38,,2
For free and attack chat gpt,2025-01-28 08:40:57,1.0.7,2
"Fast, Clean & Smart AI DeepSeek is lightweight and accurate. I use it daily for cybersecurity, coding, and deep research. It gives clear answers without noise. One of the best open-source AI tools out there!",2025-07-01 14:34:19,1.2.3,2
Now that openAI released o3 mini for free I have no incentive to use this app when every 2 messages later it gives me a server error thing. I gave you 5 stars at first and kept patience because I hoped you would fix the issue but it seems like you don't give a damn.,2025-02-19 14:06:11,1.0.12,0
Good,2025-01-31 06:34:39,1.0.8,2
Perfect,2025-02-04 04:29:47,,2
so far the best app and the fact that this is free makes it so much useful to the students like me,2025-03-23 15:42:17,1.1.3,2
A very wonderful application. Thank you to China for this powerful and amazing application. I hope to develop the application in the future. It is our wonderful right. 💚💛,2025-04-02 05:11:42,1.1.4,2
کاش امکانات آپلود عکس و پردازش تصویر بهش اضافه میشد,2025-05-03 04:37:04,1.1.9,2
a free app should be available in all regions,2025-01-27 20:20:52,1.0.7,0
as this is free so this app is best for a students. and good for researchers.,2025-05-10 19:50:46,,2
At first it is great but now its the worst ai...because it has issues like server is busy then it is slow in response and now I tried it again it uses chinese language which I don't even understand. Please fix this because your ai has the most potential,2025-02-11 05:02:49,,0
Data wars are real. If YOU ARE IN THE U.S.A. DO NOT USE..... THIS APP WAS GREAT FOR LIKE 6 MONTHS BUT IS NOW OUTDATED. ANY FURTHER INTERACTION WITH THIS APP IS A MAJOR DATA RISK.,2025-04-29 23:09:28,,0
Good,2025-01-29 02:34:38,1.0.8,2
"Good AI, first to test ! Can it best OPENai ? 5M$ v 5B $ !",2025-01-29 09:52:35,1.0.8,1
too many bugs,2025-05-19 03:10:58,,0
Great app ❤️,2025-01-28 14:39:55,1.0.6,2
"Why your r servers always down? Out of 10 responses I get, 9 r "" the server is down "" pls deepseek into it",2025-02-06 09:28:32,1.0.8,1
It's impressive but one issue for me at times they say AI server is busy and can't reply try later which is kinda annoying hope you ameliorate that .,2025-02-06 21:27:33,1.0.8,1
Really!!! R1+Search= whole universe in your hand,2025-02-19 15:34:16,1.0.12,2
the app does a worse job than gpt tea and is highly overpriced. only ⭐⭐,2025-03-26 13:16:21,,0
Need much improvements,2025-01-29 05:19:09,1.0.8,0
Wow wow wow wow. Mind blowing ai tool.,2025-01-28 11:56:06,1.0.7,2
👌 best app hai AI ke liye mujhe bahut sari malumat mili hai.,2025-01-31 09:23:14,1.0.8,2
Very well,2025-03-08 08:25:48,1.1.1,2
nice !,2025-02-01 09:06:07,1.0.8,2
Excellent 👌🏻👍🏻👍🏻👌🏻,2025-01-30 02:15:20,1.0.8,2
useless app,2025-07-03 09:05:48,1.1.6,0
Just wow 😍😍,2025-01-31 03:06:57,1.0.7,2
👍,2025-04-12 08:03:11,1.0.8,2
I love this app ❤,2025-05-21 16:55:34,1.2.0,2
Good,2025-02-18 02:20:49,1.0.8,2
You are so frandly and I♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️you♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,2025-01-28 18:55:40,1.0.7,2
good,2025-05-16 09:10:40,1.1.9,1
Better than all of other ai tools.,2025-01-26 17:34:09,1.0.6,2
When used for 1st time working very efficient but after the day when I am using it today it showing Parsing file and not showing appropriate solution of my problem.,2025-02-03 17:23:46,1.0.8,0
اسطورة,2025-01-28 08:30:11,1.0.7,2
What a phenomenal app. China cooked with this one.,2025-02-05 20:01:05,1.0.8,2
Good,2025-02-14 11:07:27,1.0.11,2
good app for ai generated content,2025-04-07 03:54:51,,0
this AI has helped me figure out the full explanation of so many things in great detail to a point im actually learning just from every search valuable things,2025-03-23 09:27:38,1.1.3,2
Super,2025-02-01 12:47:09,1.0.8,2
Best competitive to OpenAI 👍,2025-02-15 03:35:10,,2
I am waiting,2025-01-29 11:28:48,1.0.8,2
Couldn't generate image properly,2025-02-23 15:17:07,1.0.13,1
Easy to understand n use.,2025-02-08 00:40:15,1.0.8,2
