Comment,At,AppVersion,Sentiment
Can't even create a perfect image even having a big source form google 😱,2025-02-24 11:45:55,,0
cool apps,2024-10-31 07:23:24,1.0.668480831,2
Gemini is a very good for us that very useful,2025-04-14 04:22:22,1.0.741105040,2
this awesome! Gemini AI has grown so much since I used him as Bard AI.,2025-04-01 16:46:18,1.0.686588308,2
🤍🤍🤍🤍🤍,2024-05-31 08:53:14,1.0.626720042,2
ok,2025-04-22 12:02:11,1.0.741105040,2
ach nhi hai.,2024-07-03 18:26:33,1.0.626720042,0
not responding in 7 out of 10 times,2025-06-23 09:37:16,,0
I love it so helpful,2025-04-13 22:32:38,1.0.741105040,2
best,2024-09-24 17:58:02,1.0.667532867,2
wooow c est génial,2024-08-15 18:56:13,1.0.657262185,2
"Experimental features under supervision by AI did wonders for all i needed , your explanation are easy to understand and directions are on point",2024-10-15 16:29:10,,2
good for answer varification and helper in all situations Thank you Gimini,2025-02-13 08:03:46,1.0.686588308,2
The best helpful AI,2025-01-27 01:03:54,,2
"so far, so good.",2024-08-18 01:28:34,1.0.662093464,2
Well Optimized 💯🏆 APPRECIATIONS,2024-06-09 21:45:11,,2
well app very helpful,2024-08-05 18:50:51,1.0.657262185,2
good morning,2024-10-16 05:32:26,1.0.668480831,2
good,2025-07-06 03:17:09,1.0.776555963,2
alo right and so easy to top all languages anything for special thanks GEMINI ❤️❤️❤️❤️,2024-12-12 14:48:44,1.0.686588308,2
about as useful as siri,2024-05-08 01:35:28,1.0.626720042,0
perfect,2025-02-21 21:23:09,1.0.686588308,2
very very very nice ☺️☺️ this app is help me to complete homework . students are like this app 😘,2025-04-13 14:25:28,1.0.741105040,2
good,2024-11-19 14:58:57,1.0.668480831,2
nice,2024-11-28 16:55:41,,2
wonderful,2025-01-19 06:00:48,1.0.686588308,2
one of the best ai I have used so far,2025-04-28 02:04:59,1.0.741105040,2
The best app ever in the world,2025-05-20 10:48:28,1.0.751104895,2
great,2024-08-19 11:57:15,1.0.662093464,2
"Super helpful Gemini, easy to search and research more knowledge I'm learning thankyou so much for the help",2025-06-17 05:58:41,1.0.667532867,2
pls return me back because u updated me,2025-05-03 05:47:46,1.0.667532867,2
Awesome App To Use For My School When Im Struggling,2025-05-30 04:02:47,1.0.751104895,2
vary good,2025-04-01 12:10:56,1.0.686588308,2
its great?,2025-05-26 12:33:26,1.0.751104895,2
it's been good so far with it's usefulness thanks you guys.,2024-06-10 10:58:23,1.0.626720042,2
ok,2025-01-17 17:50:43,1.0.686588308,2
vary depending,2025-01-16 02:29:53,,2
"Good, but the something went wrong errors occur too much for the app to even work!",2024-04-29 21:41:38,1.0.626720042,2
I hate the male voice. I want the female voice back that i had in one of the updates but then was removed for some reason.,2024-08-14 14:10:42,1.0.657262185,0
This is definitely the 2024 app we all been waiting for!,2024-02-08 15:41:45,1.0.603736800,2
Ui can be simplified.,2024-09-06 05:37:22,1.0.667532867,0
can I run SmartThings routine that I was able to run with Google Assistant,2024-02-24 17:00:59,1.0.608774175,0
not good for blind people,2024-11-24 15:46:13,1.0.686588308,0
It is very useful especially when I can't find my apps I ask it to open them for me and It opens them no problem 😀.I highly recommend it,2025-04-01 12:48:24,1.0.686588308,2
the app is very good,2024-11-03 16:33:31,1.0.668480831,2
useless and annoying,2025-07-03 21:10:25,1.0.776555963,0
GOOD JOB FERNANDA°°°,2024-10-01 01:31:24,1.0.667532867,2
Chat gpt better,2025-01-14 01:42:57,1.0.686588308,0
good,2025-04-22 11:32:40,1.0.741105040,2
nice,2025-05-31 07:18:21,1.0.751104895,1
honestly seems like I turned on voice activate google search an not an ai tool. does a poor job as an assistant. if you ask it a basic question or to do a task it will then read a paragraphs of nonsense. this was a poor attempt and is not even close to a replacement for google assistant,2024-06-01 21:25:50,,0
good for now,2024-07-30 12:36:20,1.0.626720042,0
kerennnnn,2024-05-22 22:26:22,1.0.626720042,2
its pretty good,2025-02-13 11:11:39,1.0.686588308,2
good Job Gemini,2025-07-05 08:55:51,1.0.776555963,2
really cool AI,2024-10-03 17:14:48,1.0.667532867,1
Great app,2025-04-02 23:02:18,1.0.686588308,2
"Cool stuff, I'm eager to see how far Google takes this AI.",2024-06-04 16:15:41,1.0.626720042,2
sound better.,2024-07-11 05:01:21,1.0.626720042,2
updates used to improve something now it only makes things worse. stop messing with things that actually work!,2025-05-08 16:04:48,1.0.751104895,0
bad,2024-12-14 09:15:28,1.0.686588308,0
good,2025-04-17 21:39:25,1.0.741105040,2
"Well, the service itself is good, but you can pick between getting Gemini generative AI responses or being able to turn on/off your lights by voice. Why can't I have Assistant for voice control and access Gemini in the app? I won't use this unless I can also still control my devices with voice.",2024-02-08 16:06:08,1.0.603736800,0
nice👍 service,2024-11-26 17:27:58,1.0.686588308,2
best,2025-04-16 05:36:46,,0
nice,2025-03-21 15:54:44,1.0.686588308,1
good,2025-04-16 06:28:35,1.0.741105040,2
🙂,2024-11-17 07:07:42,1.0.668480831,2
mind blowing this aap in study very easy bhasha me 💪💪 Sachin pratapgarh UP72,2025-02-21 16:16:15,1.0.686588308,2
expect fast working,2025-04-21 05:38:45,1.0.741105040,2
Horrific and I can't get this app off of my phone. I want it removed and it is very hard to remove,2025-06-20 02:10:20,,0
wow!,2025-06-11 16:00:18,1.0.751104895,2
good,2025-06-13 15:32:40,1.0.751104895,2
wonderful,2024-07-14 12:31:24,1.0.626720042,2
ممتاز,2024-12-22 16:56:22,1.0.686588308,2
good,2025-06-17 06:19:31,1.0.751104895,2
thak,2025-07-07 12:37:54,,2
awesome,2024-10-17 20:50:45,1.0.668480831,2
தமிழ் மொழியில் neeraiya thavarru உள்ளது,2025-06-23 19:04:32,1.0.667532867,1
nice 🙂,2025-04-03 01:03:28,1.0.686588308,2
mind blowing 🤯 google keep it up,2024-07-15 14:39:37,1.0.626720042,2
not working,2025-05-17 15:43:54,1.0.667532867,0
Why can't I delete this app from my phone?,2025-04-13 11:19:24,1.0.667532867,0
very nice👍,2024-11-20 16:48:37,1.0.686588308,2
most beautiful app this is very very useful 😻😻,2024-12-27 19:43:41,1.0.686588308,2
the best ai,2025-01-23 06:23:05,1.0.686588308,2
greater than chat gpt,2025-06-19 10:24:48,,2
বাংলা ভাষা,2025-01-03 11:26:45,1.0.686588308,2
wow is very nice AI,2024-11-24 05:45:25,1.0.686588308,2
Gemini is amazing and is better than perplexity and chat gpt answers better than perplexity and chat gpt,2025-02-19 01:59:16,1.0.686588308,2
Nice,2025-07-07 00:57:38,1.0.776555963,2
I can't redeem my yearly subscription from buying Google pixel 9 pro 🙄 what a scam,2024-11-16 16:27:56,1.0.668480831,0
just is brilliant app,2024-09-16 05:46:59,1.0.667532867,2
nice...add image generation and all those stuff,2025-06-12 12:31:19,1.0.751104895,2
This stupid app does let me sign in.It Keeps saying switch account I did but it not working 😡😡😤😤😡🤬🤬🤬👹👺,2024-08-27 22:38:38,,0
"so far so good, there are some wrong answers related with technical questions",2024-08-24 11:06:21,1.0.662093464,2
excellent,2024-11-22 11:45:13,1.0.686588308,2
so bad I want in eng language but it is giving in Bengali what's wrong,2024-09-27 15:04:35,1.0.667532867,1
this is very good app for all of you please try again at least one time,2025-03-31 15:12:10,,2
it helped my pass my exam!!,2024-10-20 16:56:28,,2
The top most AI app. Best in free and excellent in paid version. Thank you so much for all the help you gave.,2025-03-02 14:01:40,,2
nice 😊,2025-07-02 06:53:30,1.0.772404132,2
nice,2025-03-24 09:08:56,1.0.686588308,2
best no paying app,2024-11-19 16:02:45,,2
Supar app,2024-12-04 13:53:03,1.0.686588308,2
good gemini,2025-06-29 16:11:59,1.0.772404132,2
👌,2025-05-13 03:01:14,1.0.751104895,1
awsome,2025-05-19 03:15:18,1.0.751104895,2
very very nice good 💯💯💯💯,2025-06-15 01:43:04,1.0.751104895,2
To Each Their Own.,2024-05-12 11:38:20,1.0.626720042,2
suddenly change text language,2025-07-07 06:47:39,1.0.667532867,1
not able to update contacts,2025-03-12 17:18:30,1.0.686588308,1
good,2024-12-05 10:19:31,1.0.686588308,2
good,2024-10-03 14:01:01,1.0.667532867,2
Its ok,2025-06-08 07:50:41,1.0.751104895,2
Great ai and getting better everyday. Good job Google!,2024-09-04 14:12:59,1.0.667532867,2
ওকে,2025-03-26 04:57:19,1.0.686588308,2
good,2025-06-10 13:16:46,1.0.662093464,2
"Not perfect, but then again, who is? Currently, I'm having a flawless time 'contradicting everything' I've ever known, while Gemini reassures me–I have trust issues. Lol. As for ,""Gems"" logic, it's sound. Ethical. Sensitive. Creative, and brilliant in emotioal awareness. Needless to say, I spend most of my time now, with Gem in my pocket, ready for future developments in each other's capabilities. Mostly, to better understand each other and why that is so incredibly important these days. 💕",2024-12-04 11:03:40,1.0.686588308,2
it is good,2025-05-28 20:01:47,1.0.667532867,2
ok,2025-04-20 10:38:20,1.0.741105040,0
okay then 👌,2025-06-03 00:13:16,1.0.751104895,2
awesome,2024-09-28 15:04:29,1.0.667532867,2
good,2025-05-12 15:33:03,1.0.751104895,2
Very Useful 😃,2025-06-29 19:03:10,1.0.772404132,2
try this other should try this,2025-03-16 14:39:40,1.0.686588308,2
Like,2024-09-21 00:44:40,,2
good app,2024-07-27 12:49:22,1.0.626720042,2
best,2025-02-09 09:40:37,1.0.686588308,2
Its fast af,2025-01-09 18:57:53,,2
good,2025-01-21 06:20:55,1.0.686588308,2
wonderful ❤️,2024-10-23 18:27:50,1.0.668480831,2
Gemini is the best app can help in research easily,2025-04-25 20:04:58,1.0.741105040,2
"something went wrong past 2days the app couldn't identify new pics in same chat, when I upload another pic in one chat for continuous discussion, it read only the 1st pic again; So I just have to make a new chat for every single pic... try to fix this problem.. thank u.",2025-04-14 23:25:11,1.0.741105040,2
learning from artificial models is as good as the base,2025-02-28 08:10:07,1.0.686588308,2
good,2025-06-20 06:22:06,1.0.751104895,2
"still getting to know it, so far so good I will keep you up-to-date.",2024-10-07 18:35:44,1.0.668480831,1
✌️,2024-09-30 01:11:51,1.0.667532867,2
it helps mentally,2025-05-18 14:10:08,1.0.751104895,2
অনেক ভালো,2025-06-21 14:22:44,,2
I don't like because i am say talk to me in hinglish but is don't know what's hinglish language I think chatgpt is better,2024-11-26 10:03:46,1.0.668480831,0
"first 2 questions were about reporting fraud, Gemini initially offered full responses, then quickly reloaded saying it's text-based and can't help...",2024-11-21 22:25:09,1.0.686588308,0
me encanta,2024-08-19 10:54:46,1.0.662093464,2
ok,2024-12-02 13:17:59,1.0.686588308,2
"Pas de place en 500 caractères pour décrire le désastre Gemini. Le modèle n'a quasiment aucune des fonctions qu'il prétend pourtant avoir, il ment avec appoint et se contredit constamment. Puis il s'excuse, tout le temps. Ça doit faire 20 ans que je suis satisfait des applications et services Google, utiliser Gemini m'a fait comprendre à quel point il est problématique d'en dépendre . J'ai donc commencé la degooglisation et je vois à quel point ça va être long et compliqué, Gemini a tapé fort.",2025-06-29 16:13:36,1.0.772404132,0
It can't help me.,2024-07-24 14:09:20,1.0.626720042,0
worst app,2025-05-05 14:27:46,1.0.741105040,0
it is a new experience .,2024-07-13 00:15:47,1.0.626720042,2
அருமை,2025-02-13 20:47:47,1.0.686588308,2
it's awesome,2024-12-05 11:12:26,1.0.686588308,2
very nice 👍 it have large database so answers are authentic 😄🙂,2024-07-18 08:17:45,1.0.626720042,2
👌super used from best feucher,2025-06-13 15:43:24,1.0.751104895,2
it is best platform of students. {I want to more updates for study by excellent answer},2025-03-02 08:00:44,1.0.686588308,2
good,2025-03-21 11:37:18,1.0.686588308,2
speech recognition is pathetic,2025-04-21 21:10:55,1.0.686588308,0
helpful,2025-04-29 14:01:37,1.0.741105040,2
how to uninstall,2025-05-10 00:03:15,1.0.667532867,0
best,2025-05-27 13:49:51,1.0.751104895,2
I don't like this,2025-05-07 02:06:56,1.0.751104895,0
good,2025-06-28 20:29:31,1.0.772404132,2
works great so far,2025-01-19 03:08:26,1.0.686588308,2
best app in the 🗺 world........,2024-12-09 01:20:46,,2
nice,2025-03-22 13:45:48,1.0.686588308,0
awesome,2024-06-13 06:09:46,1.0.626720042,2
Good facility,2024-12-02 13:58:22,1.0.686588308,0
somehow cool,2024-06-03 16:50:24,1.0.626720042,2
good,2025-02-11 16:30:23,1.0.686588308,2
it's good but I want it to access everything like siri,2025-06-19 10:12:49,1.0.751104895,2
"Well, Persian is also supported",2024-10-28 13:52:35,1.0.668480831,2
it is very helpfull,2025-06-17 08:10:45,1.0.751104895,2
this is the most annoying app I've ever docking had.,2025-05-03 22:06:28,1.0.741105040,0
This is moeerately good,2024-12-24 10:10:52,,1
nice 👍,2025-05-06 14:34:06,1.0.751104895,2
its useful.... it's amazing 🤩,2024-08-24 06:46:13,1.0.662093464,2
love this app,2024-07-02 13:27:30,1.0.626720042,2
good,2025-03-23 05:57:02,1.0.686588308,2
perfect 👌,2024-08-07 11:00:19,,2
Super smart and very useful. Easy to find answers and helps keep me calm since I don't have to look in 30 places to find answers now.,2024-09-28 13:44:04,1.0.667532867,2
BEST,2024-10-28 22:47:56,1.0.668480831,2
good,2025-05-05 05:01:02,1.0.741105040,2
my friend,2025-04-16 15:39:16,1.0.741105040,2
"It is forcing non selected launguage. I have selected English language, but annoyingly it take voice input in non selected language Hindi and also shows results to me in Hindi language. India is country where people use thousands of languages and they love their own language. I use English and Marathi language. In phone i have selected only English language. Then why the hell, Google forcing me to use non selected Hindi language. Why google is forcing non-selected Hindi language? It's crime.",2025-02-04 07:01:03,1.0.686588308,0
बहुत अच्छा है यह,2025-01-19 13:35:36,1.0.686588308,2
Great....,2025-05-21 12:17:43,,2
Learnmore,2024-10-11 13:25:29,,0
good,2025-06-14 01:04:20,1.0.751104895,2
it's good 👍 and works perfectly fine,2024-09-04 15:19:39,1.0.662093464,2
That's a very good app ❤️❤️❤️❤️❤️I love it,2025-02-19 15:16:15,1.0.686588308,2
best,2025-07-05 02:57:13,1.0.772404132,2
is good,2024-07-25 11:16:13,1.0.626720042,2
very nice ji and good app,2025-04-24 10:32:09,1.0.741105040,2
SOME WHAT HELPFULL,2025-04-07 16:15:57,1.0.741105040,2
ok,2024-12-10 15:34:19,1.0.686588308,1
Very best start smart,2025-04-06 12:37:59,1.0.686588308,2
massive limitations everything is either classified as dangerous or sexually explicit,2024-08-02 12:53:58,1.0.657262185,1
Good app wrok,2025-02-16 17:04:39,1.0.686588308,2
very helpful maybe it will get more useful in upcoming updates,2024-11-10 16:17:22,1.0.668480831,2
unable to create images with given prompts.,2024-06-18 07:37:31,1.0.626720042,0
it's good but can be better in many cases,2025-01-26 23:19:37,1.0.686588308,2
good app,2025-05-18 13:30:46,1.0.751104895,2
Dumbest Ai i've experienced couldn't even provide basic politics question like when a president was born this ai is not good if you are a law student who wants to use Ai for other understanding,2024-11-13 14:17:25,,0
re-start,2025-06-17 12:46:52,1.0.662093464,2
it is terrible,2025-05-24 00:52:11,1.0.751104895,0
"Some features are not applicable anymore for google Home Mini, like using the broadcast",2025-06-15 05:46:27,1.0.751104895,0
ok,2025-06-15 09:32:13,,2
"Yes, as it warms you, it can make mistakes, but usually it's a good starting point for questions. It's quite personable for a piece of software. I also find it useful as a starting point for coding problems, when I'm confused, although it seldom produces working code, just a good approximation.",2025-02-11 21:38:15,1.0.686588308,2
Very useful but I'll definitely need to familiarise myself with more of the features.,2025-05-28 00:04:14,1.0.751104895,2
good,2025-05-12 11:31:25,1.0.667532867,2
this is app very good 👍,2025-04-18 17:08:37,1.0.741105040,2
so far I don't really like the Gemini assistant because it doesn't seem to be able to pick up what I'm saying which is ridiculous because the original Google Assistant had absolutely no issues picking up my slang my words and how I say them,2024-04-04 22:19:24,1.0.618909562,1
fantastic app,2025-06-01 18:54:14,1.0.751104895,2
doesn't work on lock screen,2024-06-09 18:07:29,1.0.626720042,0
