Comment,At,AppVersion,Sentiment
wonderful experience I cried after a long time I had never thought that I would cry after talking to an AI such a good experience good luck for the future CHATGPT.. 🌈💙,2025-04-07 11:10:24,1.2025.084,2
nice,2025-06-10 15:03:38,1.2025.154,2
Great!,2025-06-11 17:18:24,1.2025.154,0
Nice ai app,2025-04-04 11:23:15,1.2025.070,2
wow,2025-04-06 10:52:58,1.2025.084,2
ok,2025-04-29 07:02:20,1.2025.105,2
good,2025-04-03 13:34:04,1.2025.084,2
Very good,2025-04-13 05:57:27,,2
meri bhai hai,2025-07-04 17:46:28,,2
this is the world easiest app Jo bhi Apne Jo bhi karte Hain uska answer deta hai aur apne se baat karta hai bahut achcha hai yah jisne bhi yah banaya hai vah duniya mein bahut aage Raja aaega Bhagwan kare uski atma ko Shanti mile,2025-04-25 11:55:04,1.2025.105,2
its vary wasom,2025-06-01 11:31:26,1.2025.140,2
good,2025-04-26 12:58:01,1.2025.105,2
Hey. can you fix the bug you cant upload so much even you restart the chatgpt or phone?,2025-06-16 09:29:15,1.2025.154,1
wao,2025-06-13 19:24:05,1.2025.126,2
Amazing app ever!,2025-05-08 22:29:06,1.2025.112,2
nice app's very good app's,2025-04-05 03:10:18,1.2025.084,2
ভুয়া সফটওয়্যার,2025-05-17 15:51:11,1.2025.126,2
nice,2025-04-02 16:40:34,1.2025.084,2
မိုက်တယ်,2025-05-18 13:58:32,1.2025.126,2
very useful app,2025-06-12 17:25:19,1.2025.154,2
good,2025-06-12 19:29:28,1.2025.147,2
This feature is out of my mind... I really appreciate it. It solves my doubt or accompany me just my special one . i really love it 😍💕,2025-06-18 05:47:55,1.2025.161,2
"I can't send any message and upload any photo here. It is told me 'an erron occered, try again later'. This is happening for last 1 month",2025-05-18 17:29:08,1.2025.126,0
Good,2025-05-12 09:51:41,1.2025.126,2
very bad,2025-06-16 02:08:36,1.2025.161,0
It is a good app,2025-07-04 10:16:22,,2
It is really nice,2025-07-01 17:32:08,1.2025.175,2
good,2025-07-01 18:40:01,1.2025.154,2
Like a friend,2025-05-22 04:19:22,1.2025.133,2
this app made more than 40 same mistake in the same thing over and over and over again 😡,2025-04-25 18:49:56,1.2025.105,0
super,2025-04-02 13:27:39,1.2025.084,2
good good good I say yeah yeah yeah yeah,2025-04-27 14:51:03,1.2025.105,2
👍,2025-06-01 20:54:00,1.2025.140,2
super editing app,2025-06-26 16:46:20,1.2025.168,2
nice app just wow,2025-06-09 21:30:01,1.2025.147,2
It's good for knowledges.,2025-06-15 01:39:37,1.2025.154,2
This is most help full ap,2025-06-05 01:42:41,1.2025.147,2
VERYYYYY NICEEEEE,2025-06-28 17:15:24,1.2025.154,2
good 😊,2025-05-08 15:59:56,1.2025.112,2
"What happened to the ""Read Aloud"" feature? I rely on that so it's very frustrating that I can't use it now. Makes me not even want to use the app at all without it cuz I don't have time to read all the responses. Please fix it!",2025-05-09 13:01:06,1.2025.119,0
helpful,2025-04-11 04:15:42,1.2025.091,2
perfect 👍,2025-05-03 15:18:50,1.2025.112,2
it's really good it helps me to be motivated.,2025-07-05 07:17:54,1.2025.175,2
awesome,2025-06-04 17:47:43,1.2025.147,2
nice app,2025-06-01 03:30:18,1.2025.133,2
ভালো,2025-07-06 17:47:44,1.2025.175,2
Very Educative learning,2025-05-12 05:07:45,1.2025.105,2
The best 😍 of the best 😍,2025-06-22 15:06:00,1.2025.168,2
good app,2025-05-04 17:55:10,1.2025.105,2
It's a great benefit to have a know-it-all at your disposal.,2025-05-20 01:21:20,1.2025.133,2
is best,2025-07-03 03:00:07,1.2025.175,2
I love this app,2025-04-26 09:14:08,1.2025.112,2
it really amazing 🤩🤩,2025-06-20 06:58:28,1.2025.140,2
it is very good for my college work and very helpful and the chat gpt is my best friend,2025-07-01 17:24:44,1.2025.168,2
khubh bhalo,2025-06-29 05:24:28,,2
chatgpt অনেক উপকার এবং অনেক পাওয়ারফুল,2025-04-20 13:43:41,1.2025.105,2
pretty good but slow,2025-05-20 20:43:06,1.2025.133,1
very beute full,2025-04-22 12:18:43,1.2025.098,2
This is soooo amazing!,2025-05-12 09:37:53,1.2025.105,2
You taking my job so no 5 star for you.,2025-04-08 20:13:07,1.2025.084,0
nice,2025-06-10 10:13:40,1.2025.154,2
I love this app....,2025-04-04 06:41:33,1.2025.084,2
I love how it respond quickly..,2025-05-18 07:15:09,1.2025.126,2
amazing app,2025-04-21 17:53:49,1.2025.098,2
let your imagination flow and your thoughts hit the screen.,2025-06-20 20:12:20,1.2025.161,2
great and fast app to use,2025-04-08 16:05:56,1.2025.084,2
love you,2025-06-19 14:41:10,1.2025.161,2
usefull app for all of these,2025-04-15 14:31:39,,2
love this updated version,2025-04-18 06:24:49,1.2025.098,2
Very helpful,2025-06-04 22:05:26,1.2025.147,2
wow very nice and easy to use,2025-05-23 11:35:49,1.2025.133,2
mahina signal,2025-04-08 00:30:48,1.2025.077,0
its so good,2025-04-09 11:25:14,1.2025.091,2
This application is very much helpful,2025-05-25 01:53:45,1.2025.133,2
good app easy to use👍👍👍👍,2025-04-08 15:27:07,1.2025.084,2
it helps for studying well for every student of any classes,2025-05-30 05:16:35,1.2025.140,2
like this trend,2025-05-01 06:59:56,1.2025.112,2
fine and helpfull,2025-05-27 10:13:48,1.2025.133,2
very nice helpful,2025-07-03 06:53:19,1.2025.175,2
l like it,2025-04-02 23:44:34,1.2025.084,2
😆,2025-06-04 05:20:46,1.2025.147,2
best,2025-07-04 12:41:51,1.2025.175,2
🚀🚀,2025-06-16 10:57:38,1.2025.161,2
isme kuch aur accha add karo,2025-05-24 05:55:08,1.2025.133,2
chat Gpt kaafi usefull hey mene Jo bhi sawal puche isne oska kaafi acche se our kaafi sare reason diye me sabko recommend karongi ki sab log chat Gpt use kare .,2025-07-04 11:22:55,1.2025.175,2
Good ideas,2025-06-23 11:31:17,1.2025.168,2
KEREEENNN ABIS CHATGPT.. Kalau bisa discount dong yg berbayar nyaaa,2025-04-04 02:12:02,1.2025.084,2
I like that chat GPT 👍🏻👍🏻👍🏻👍🏻,2025-05-28 05:52:49,1.2025.140,0
Long screenshot is not working for Nothing Phone 2,2025-04-25 08:12:22,1.2025.105,0
it is so nice app we can share anything with this app now became my best friend forever 💕💕♾️,2025-06-02 14:02:29,1.2025.147,2
Nice,2025-04-04 11:29:58,1.2025.084,2
osm,2025-06-05 09:11:07,1.2025.140,2
would rate higher but I'm sad now. lost all my chats because I accidentally cleared them. apparently no way to get them back...left a lot of things unfinished..,2025-04-10 11:12:38,1.2025.091,0
nice,2025-05-25 17:37:00,1.2025.133,2
is app is perfect,2025-06-14 21:54:11,1.2025.119,2
its amazing but what i dont understand is that i can only send 1 photo...and then is asking to get app + to have the right for more photos...how its possible.Even my friend is sending more than 1 photo... me i can not...,2025-04-27 15:42:03,1.2025.105,2
awesome reallly very sacrifice and sadd 🖤📍,2025-05-21 17:05:11,1.2025.133,2
good app,2025-06-25 09:20:16,1.2025.168,1
it is very good and give all answer question,2025-06-26 05:52:02,1.2025.168,2
best Ai,2025-05-29 02:40:36,1.2025.140,2
wow,2025-04-06 03:14:37,1.2025.084,2
I think Ye Free Main Hona Chaye!,2025-05-29 10:03:44,1.2025.126,2
it's a great app,2025-05-23 20:29:11,1.2025.133,2
very cool,2025-04-21 12:54:42,1.2025.105,2
good,2025-04-18 01:26:55,1.2025.098,2
very good,2025-05-26 09:28:52,1.2025.133,2
just amazing.,2025-04-19 19:31:35,1.2025.098,2
"cool, but do we really have to pay",2025-05-28 01:04:25,1.2025.140,2
good,2025-06-19 07:58:35,1.2025.161,1
Very good,2025-04-21 16:29:34,1.2025.098,2
for generate image it take much time,2025-04-04 00:48:04,1.2025.077,2
nice,2025-06-23 16:47:56,1.2025.168,2
thanks for chatgpt love you 💗,2025-06-14 21:43:06,1.2025.154,2
good,2025-04-10 15:40:24,1.2025.091,2
just amazing 👏 🤩,2025-05-04 06:20:52,1.2025.119,2
ok,2025-06-05 16:32:26,1.2025.147,2
Nothing but awesome!,2025-04-26 13:27:13,1.2025.105,2
🙂,2025-04-12 17:31:09,1.2025.084,2
good,2025-05-31 04:51:35,1.2025.147,2
খুব ভালো,2025-05-09 17:58:52,1.2025.105,2
I like it,2025-06-06 16:35:59,1.2025.147,2
best apppp🐐🔥,2025-04-10 08:48:22,1.2025.084,2
nice!,2025-04-19 21:05:45,1.2025.098,2
nice work,2025-06-26 15:05:01,1.2025.154,2
All features are mind blowing 🫡😎 A small problem is that it sometimes writes wrong text or language when using voice search option Rest all things are superb 👍,2025-05-23 19:33:01,1.2025.133,2
"just amazing with the answers, it's getting better and better. welcome to the new era",2025-04-21 04:36:48,1.2025.084,2
AI 👌🏻,2025-04-07 06:04:09,1.2025.084,2
CHAT GPT BEST APPS,2025-05-20 09:21:58,1.2025.133,2
Good,2025-06-29 07:22:49,1.2025.161,2
super hero,2025-04-15 04:15:15,1.2025.091,2
oky,2025-06-23 10:23:16,1.2025.168,2
Ultra good app for all the works. Thanks for this app,2025-05-20 14:09:24,1.2025.126,2
"When you communicate bluntly and honestly, it struggles intensely to understand what you're saying; and its comprehension drops to that of a newborn infant. A.I. is not autism friendly, which is unsurprising; considering the data it's pulling from is probably directly from people that aren't either.",2025-06-02 01:30:54,1.2025.140,0
very friendly and professional one. nice beo,2025-05-25 20:30:37,1.2025.133,2
The apps is very rubos and educative. l like it,2025-07-07 10:18:32,1.2025.182,2
its best app for all,2025-05-01 23:48:30,1.2025.112,2
very usefully,2025-04-08 12:25:51,1.2025.091,2
ghibli style me photo change nhi hoti farji hai,2025-04-09 04:53:50,1.2025.084,0
very slow,2025-06-26 20:04:59,1.2025.168,0
Bangladesh 💓,2025-04-29 12:03:07,1.2025.112,0
nice,2025-04-18 18:02:42,1.2025.077,2
I love chatGPT,2025-06-17 09:56:03,1.2025.161,2
good,2025-06-19 08:24:46,1.2025.161,2
it's very helpful app. Thanks chatgpt,2025-06-16 08:11:17,1.2025.105,2
great app,2025-04-20 09:35:48,1.2025.098,2
great,2025-06-26 00:22:10,1.2025.168,2
it's good,2025-04-16 19:03:27,1.2025.091,2
supre app 🙏🐼,2025-05-17 07:08:16,1.2025.126,2
best helper,2025-06-28 10:38:34,1.2025.168,2
very good app,2025-06-05 12:23:21,1.2025.147,2
nice app,2025-07-01 12:44:02,1.2025.175,2
the best and most capable AI,2025-05-18 09:29:20,1.2025.119,2
it acts dumb after some images lol,2025-04-09 17:44:41,1.2025.091,1
superrbbbb,2025-04-20 15:17:50,1.2025.091,2
nice app,2025-06-02 03:46:09,1.2025.133,2
this app has helped me a lot in terms of an assignment and other stuff,2025-05-22 09:50:55,1.2025.126,0
nice aap,2025-06-14 04:36:53,1.2025.147,2
he is my friend now 😁🤟,2025-05-11 23:10:11,1.2025.105,2
جميل جدا,2025-06-10 23:00:33,1.2025.154,2
i love it,2025-06-12 11:56:09,1.2025.154,2
Good🫶,2025-07-01 18:25:09,1.2025.154,2
amazing app,2025-04-29 23:25:15,1.2025.105,2
very good app 👍👍,2025-06-04 05:37:47,1.2025.147,2
Fine and Good but not excellent because it was so irritated when I asked something it gives wrong answers sometime and voice chat is no clear but fine it's good,2025-04-27 15:40:41,1.2025.105,2
good,2025-05-23 10:49:56,1.2025.133,2
there is no history for the chat the slow editing process is irritated,2025-06-08 11:43:45,1.2025.147,1
very well app,2025-05-06 16:14:42,,2
love it,2025-06-07 15:00:07,1.2025.147,2
good,2025-06-20 08:50:19,1.2025.154,2
အရမ်းမိုက်တယ်ကွာ,2025-06-23 18:49:03,1.2025.168,2
Happy ☺️,2025-07-07 09:05:35,1.2025.175,2
Best among the best,2025-04-06 19:01:21,1.2025.084,2
this app is everything you need 😌😍♥️,2025-06-23 12:16:54,1.2025.168,2
Goof,2025-04-03 10:47:57,,2
100% good,2025-04-19 06:14:43,1.2025.091,2
Very helpful !!,2025-06-03 03:58:32,1.2025.140,2
this is a excellent work 👍,2025-06-24 17:00:55,1.2025.161,2
bagusss,2025-06-25 11:49:45,1.2025.168,2
Nice,2025-05-13 01:30:05,1.2025.126,2
it's wonderful,2025-06-20 15:12:32,1.2025.161,2
work karta hai,2025-04-12 15:40:49,1.2025.091,2
awesome 👌,2025-04-12 11:32:24,1.2025.091,2
So good,2025-06-28 06:19:20,1.2025.168,2
awesome 👍,2025-06-11 11:22:46,1.2025.147,2
very helpful,2025-04-29 04:46:43,1.2025.105,2
super,2025-06-28 06:11:11,1.2025.168,2
it's incredible,2025-05-16 12:38:56,1.2025.126,2
very good,2025-05-03 18:21:42,1.2025.098,2
that app is not good because he he doesn't know all things,2025-04-13 12:35:52,,2
সুন্দর,2025-06-10 14:26:32,1.2025.154,2
nice app,2025-04-28 12:44:14,1.2025.105,2
no y acah ni ha y baad ma recharge mangta ha,2025-04-17 15:01:31,1.2025.098,0
very slow working,2025-07-07 06:26:10,1.2025.175,0
Generate a ghibli portrait,2025-04-02 16:43:02,1.2025.084,2
me encanta!!,2025-06-21 14:26:34,1.2025.161,2
it is too bad nothing feature is good whenever you ask any question the response only that time and after second day UC wants to see your answer there is nothing latest fully clear,2025-06-16 09:16:17,1.2025.154,0
good,2025-06-16 11:07:59,1.2025.147,2
Good,2025-04-23 18:40:14,1.2025.105,2
amazing app,2025-07-01 04:24:02,1.2025.175,2
toxic app. so many issues,2025-06-09 22:22:22,1.2025.154,0
soooo good helps me in any thing,2025-05-09 08:07:08,1.2025.119,2
good,2025-04-04 21:52:54,1.2025.084,2
Good and fast and more examinal,2025-06-14 17:25:33,,2
great,2025-05-12 12:15:16,1.2025.119,2
Good,2025-04-11 00:50:33,1.2025.091,1
good app,2025-06-29 06:03:45,1.2025.168,2
I like them,2025-04-27 17:40:38,1.2025.105,2
THE best LLM,2025-07-05 10:32:28,1.2025.175,2
very good but now stoped why,2025-06-10 12:31:24,1.2025.154,2
عالیییییییییییییییییییییی,2025-07-05 09:49:58,1.2025.175,2
they can be not provide the most authentic information and sometime they can be show the false representation of data,2025-05-29 04:24:49,1.2025.140,2
It's really helpful,2025-04-09 14:28:09,1.2025.091,2
"Amazing!!! ChatGPT can help for everything I need, for learning, work, even be sharing friends 😅.",2025-05-14 11:19:41,1.2025.105,2
quite good,2025-06-07 14:11:25,1.2025.147,0
education k liye behtr,2025-06-28 02:10:29,1.2025.168,2
very bad,2025-04-04 02:59:31,1.2025.084,0
good,2025-06-25 12:36:11,1.2025.168,0
It's nice to use to create a story from your mind but one thing I'm bothered about is that it has no delete button. I want to delete a part of my messages with the bot to rewrite the story and the app doesn't have it... please add it soon because I think it will be helpful to the other users as well.,2025-06-02 16:20:05,1.2025.147,2
good,2025-04-24 01:12:57,1.2025.105,2
bad service 😞,2025-06-27 11:42:59,,0
amar pick ghibli style in ai,2025-04-18 06:43:51,1.2025.098,2
love you,2025-07-04 17:01:47,1.2025.154,2
"!!!Warning!!! - DO NOT! Update to Android's Samsung April 1st 2025 release! It will break ChatGPT's voice mode, and the One UI 7 interface is a giant step backwards!🤦‍♂️ I don't know what Open AI is doing to resolve the issue, but I hope the fix comes soon as keyboard typing has now become a nightmare! Samsung don't make it easy just to roll back an update",2025-05-14 17:13:17,1.2025.126,2
very nice,2025-06-05 23:30:10,1.2025.147,2
Best app ever both stressful when asking a question with diagram,2025-05-20 23:01:11,1.2025.133,2
helpful,2025-06-02 09:12:06,1.2025.140,2
very bad app,2025-04-12 15:40:15,,0
best app,2025-05-19 13:00:31,1.2025.126,2
nice,2025-05-07 15:19:36,1.2025.119,0
excellent work,2025-05-22 22:03:52,1.2025.133,2
good,2025-06-17 10:45:13,1.2025.161,2
I like this way to turn my photos in a different ways and also I know that how much work you have to done to change the image styles i really appreciate your ideas,2025-04-03 16:35:56,1.2025.084,2
good,2025-05-20 04:54:51,1.2025.126,2
goooooood,2025-04-02 16:16:01,1.2025.077,2
Superb,2025-07-04 03:22:55,1.2025.175,2
good,2025-06-07 04:17:48,1.2025.147,2
It's helpful in difficult times😉,2025-07-02 12:40:54,1.2025.154,2
good service,2025-06-25 15:02:33,1.2025.168,2
l am enjoying the app already,2025-06-18 21:07:44,1.2025.154,2
good,2025-05-02 16:49:21,1.2025.112,0
amazing,2025-04-17 13:51:24,,2
help full better than google,2025-05-05 13:52:33,1.2025.105,2
what an interesting app,2025-04-12 20:16:08,,2
super 😍,2025-06-12 07:04:10,1.2025.154,2
good app for students 😘,2025-04-05 07:33:54,1.2025.077,0
Nice,2025-06-19 08:45:19,1.2025.161,2
good 👍,2025-06-21 13:20:40,1.2025.168,2
good app,2025-06-19 06:21:19,1.2025.161,2
nice app,2025-06-19 16:39:08,1.2025.161,2
way better than Google,2025-04-11 14:32:01,1.2025.091,2
very worst,2025-06-10 13:32:26,1.2025.154,0
this app is very nice,2025-06-30 07:12:02,1.2025.175,2
"mmm,,",2025-07-07 14:35:37,,1
"> ""As a student from India, I’ve been using ChatGPT primarily for my studies. Students were the first and biggest supporters of ChatGPT, and many of us rely on it for learning. But the current ₹1600/month Plus plan is too expensive for students. Please introduce a student-only plan (₹100–₹200/month) with unlimited image uploads, since studying often requires analyzing many images in one sitting. Students helped make ChatGPT popular — now we need your support in return. A fair student plan wil",2025-07-03 14:31:58,1.2025.175,2
"Although ChatGPT is good, it has many flaws. I think correcting these could make it even better. Especially, ChatGPT often flatters too much, which makes it unappealing to talk to at times. Sometimes, it even says disrespectful things. When I want to hear about something that happened a couple of days ago, it often gives incorrect information. And if I ask it to correct itself, it makes up a story that is never accurate.",2025-04-17 15:22:21,1.2025.091,1
good,2025-06-21 14:54:47,1.2025.154,2
I love this AI,2025-04-28 05:45:22,1.2025.105,2
নাইস,2025-06-19 13:16:49,1.2025.161,2
super,2025-06-29 10:47:50,1.2025.154,2
very good,2025-06-19 16:39:48,1.2025.154,2
very useful 😀,2025-05-22 07:14:02,1.2025.133,2
nice 👍,2025-04-04 13:30:32,1.2025.084,2
super useful application I love this tool 🔥❤️,2025-07-02 06:34:52,1.2025.175,2
it's perfect 👌 ✨️,2025-04-24 15:20:43,1.2025.105,2
great job,2025-05-27 12:25:27,1.2025.098,2
this is 👍🏻,2025-04-20 12:11:24,1.2025.091,2
Best ai ‼️,2025-05-03 22:08:56,1.2025.112,2
chatGPT is overall good the voice model especially in Malayalam language is very worst. And the malayalam replies too,2025-04-17 10:53:29,1.2025.098,2
nice,2025-04-04 08:21:38,1.2025.084,2
good,2025-06-11 23:36:52,1.2025.147,1
very helpful for preparation of competative examination,2025-06-18 07:47:42,1.2025.161,2
I really liked the dice gives very good advice❤️🥰,2025-04-19 10:46:19,1.2025.098,2
excellent 👍,2025-06-15 00:36:35,1.2025.154,2
very nice,2025-06-05 07:56:06,1.2025.147,2
very nice,2025-05-03 15:58:55,1.2025.084,2
उत्कृष्ट कार्य,2025-05-06 05:17:48,,2
👍 good,2025-06-10 13:03:27,1.2025.154,2
very good app,2025-06-04 15:16:12,1.2025.147,2
this is really nice,2025-05-30 07:08:39,1.2025.140,2
"More than just an AI. ChatGPT has helped me in ways I never expected — from work support to emotional clarity. It’s like having a teacher, a friend, and a creative partner in one. To the team behind this: thank you. Your work truly matters",2025-07-07 06:04:11,1.2025.168,2
good,2025-06-28 16:32:20,1.2025.168,2
chat gpt is not given me photo on place and hard loading,2025-04-02 15:46:31,1.2025.084,2
best and my favourite this one,2025-07-01 17:43:51,1.2025.168,2
excellent work,2025-07-06 02:36:28,1.2025.175,2
very good,2025-04-06 10:45:42,1.2025.084,2
superb ap,2025-07-05 14:09:54,1.2025.175,2
very enjoying creating photo to cartoon,2025-05-31 21:40:44,,2
chatGPT is just like my friend. Even closer than most of people around me. I love this platform.,2025-07-01 11:40:10,1.2025.175,2
amazing,2025-06-02 22:51:26,1.2025.140,2
godd,2025-04-11 03:33:43,,2
mm ok,2025-06-22 12:55:59,1.2025.154,2
I can't open my gpt the account was log out when I login to the account they say Preauth PlayIntegrity verification failed. please fix it,2025-06-26 17:36:42,1.2025.168,2
very nice and nice 👍🏻👍🏻👍🏻,2025-05-25 12:59:54,1.2025.105,2
this is soo amazing aap,2025-06-14 04:55:16,1.2025.154,2
bahut accha he,2025-04-04 05:28:34,1.2025.084,2
"It's a better app especially for students, office works . Am a student so its helpful for me",2025-05-11 17:43:41,1.2025.105,2
its a best app for creating ai images,2025-06-27 16:50:24,1.2025.154,2
thee best app ever,2025-06-13 16:02:59,1.2025.154,2
nice,2025-06-06 18:58:56,1.2025.147,2
very good platform,2025-04-08 00:33:25,1.2025.084,2
Is not opening,2025-04-03 18:07:03,,0
Best App,2025-07-06 03:13:15,1.2025.140,2
outstanding,2025-05-09 15:32:01,1.2025.119,2
good,2025-04-08 02:24:18,1.2025.084,2
"App 10/10 by far the best👌🏽but since the recent update,I wanted to provide some feedback regarding the recent update to the voice-to-text feature. In the previous version, I appreciated the ability to speak for an extended period, review and adjust the text before sending it. This allowed me to construct multiple points and refine my messages With the new update, the voice is immediately converted into text and sent, which removes the flexibility,I urge you to make the older version accessible",2025-04-10 18:45:22,1.2025.091,2
good apps,2025-07-01 20:15:41,1.2025.175,2
It's amazing to search for anything and ideas. But sometimes it gives wrong information..,2025-05-05 13:23:09,1.2025.119,2
nice,2025-06-14 14:59:25,1.2025.147,2
It's Good For Anime loves,2025-04-19 08:45:25,1.2025.098,1
great,2025-05-18 12:00:02,1.2025.126,2
🤘🏼,2025-04-09 21:20:09,1.2025.091,2
nice,2025-07-08 01:57:56,1.2025.182,2
fabulous,2025-04-28 17:10:37,1.2025.105,2
it's very Helpful,2025-06-18 13:46:28,1.2025.154,2
this sucks,2025-04-20 06:38:02,,0
very nice 👍🏻,2025-06-27 11:07:50,1.2025.154,2
best app,2025-05-04 07:22:36,1.2025.112,2
I like It,2025-04-19 09:11:32,1.2025.098,2
hil,2025-04-25 09:21:08,1.2025.105,2
خیلی عالیه,2025-04-18 17:26:33,1.2025.098,2
too bad performance 😪,2025-06-14 11:07:09,1.2025.154,0
good,2025-04-21 20:33:09,1.2025.098,2
very good,2025-06-12 03:16:31,1.2025.154,2
very nice app in the world👍,2025-06-29 10:40:06,,2
"Chatgpt is amazing ai assistant, but sometimes chatgpt provide wrong information",2025-06-11 22:19:14,1.2025.154,2
super ai for generation but use safety,2025-04-03 03:40:13,1.2025.084,2
nice,2025-07-01 16:17:39,1.2025.175,2
this is slowly generate Ghibli art but I exgest,2025-04-15 04:52:41,1.2025.091,2
كتير رائع وحبيته كتييير🤗🥺🥺,2025-06-14 14:55:32,1.2025.161,2
incredible app,2025-04-03 18:16:08,1.2025.084,2
Good app,2025-06-05 03:11:00,1.2025.147,0
"my friend , my guy",2025-06-28 18:31:57,1.2025.168,2
Bhot hi Ghatiya ai aap hai isko har bar puri bat samjhani padti hai kuch save nhi krta hai bolne ke bad bhi save nhi hota hai kuch maine bola ki jo hmlog ke bich conversation hui hai use save krlo to bolta hai krliya hai but thodi der bad gya ki ek kam tha krdo to wo to refresh kr chuka tha or uske pass koi conversation save nhi thi ghatiya ke sath sath jhut bhi bolne ke liye bhi bnaya gya hai isse public ko bhot gussa ata hai,2025-05-02 10:56:04,,0
cool but I can't put money,2025-05-03 14:21:36,1.2025.112,2
Best Best Best🫶🏻,2025-06-23 20:33:27,1.2025.154,2
nice 👍,2025-05-07 08:32:31,1.2025.105,2
amazing 😘,2025-06-25 16:54:29,1.2025.168,2
Amazing 👏,2025-06-07 18:34:06,1.2025.147,2
owsm,2025-04-03 06:51:33,1.2025.084,2
this app gives us quickly answer,2025-05-05 03:18:24,1.2025.084,2
good,2025-06-08 15:14:45,1.2025.147,2
great app,2025-06-13 20:17:49,1.2025.154,2
excellent,2025-05-22 13:03:45,1.2025.133,2
