Comment,At,AppVersion,Sentiment
Best Search AI engine ever,2024-07-24 07:40:52,2.23.3,2
best app when paid for to assist with lazy people. I am lazy. this app does so much of my research for me. all that's left for me is taking action after reviewing the information the ai provides me. This is great for streamlining your goals among other things. very very powerful tool.,2025-03-04 02:53:05,2.40.3,2
"I'll write it down later, ok, be patient",2024-04-02 23:33:41,2.15.0,2
very good is better than Google,2024-01-14 07:25:28,2.9.0,2
good search engines,2024-07-05 18:07:32,2.23.0,2
really a great and useful App for students mostly to get things done,2025-06-11 17:24:02,2.47.2,2
super good AI thanks,2025-06-19 08:55:25,2.47.2,2
bijo,2024-10-19 18:07:15,2.31.1,2
Bast ai app 🥰🥰🥰🥰🥰😍,2024-10-20 16:32:11,2.31.1,2
Great for confirming doubts.,2024-07-18 10:01:54,2.23.3,2
nice,2024-09-14 17:44:41,2.28.1,2
Cool so far,2023-12-25 12:34:35,2.8.0,2
sencillamente fantastico hasta ahora,2025-04-13 17:06:06,2.43.0,2
I have installed today. but I cannot copy whole file,2024-11-26 16:14:30,2.33.1,2
basically they need to find better features that they can charge,2025-05-04 15:39:15,2.44.0,2
helpful,2024-12-03 13:13:14,,2
عالیه,2024-11-09 08:40:44,2.32.1,2
It doesn't have tagged chat groups,2023-11-27 14:39:56,2.7.0,1
excellent,2025-07-04 17:44:20,2.49.3,2
nice app,2024-01-26 02:31:36,2.9.0,2
Interesting,2024-11-25 06:52:43,2.33.1,2
not generating mind map,2025-06-29 07:22:45,2.48.2,0
Very complete and easy to follow answers. I also like the detail and sourcing.,2025-07-02 20:04:57,2.48.2,2
super,2024-01-13 15:59:55,2.9.0,2
good application,2025-06-30 20:28:35,2.48.2,2
i love it i feel smort,2024-10-08 22:08:41,2.30.1,2
only just got this and I will not google anymore,2024-03-14 02:43:08,2.15.0,2
Bro has developed something extraordinary.,2024-12-28 18:04:11,,2
amazing,2024-08-09 11:41:54,,2
Perfect!,2024-09-09 21:01:39,2.26.1,2
ကောင်းမယ်လို့ ထင်တာပါပဲ။ မြန်မာတွေက သောက်ရမ်းညွှန်းနေလို့ သုံးကြည့်တာ။ ဘယ့်နှယ် ကြယ်ငါးပွင့် ဇွတ်ဖိအားပေး ပေးခိုင်းနေရသတုံး။,2025-07-03 11:41:47,2.48.2,2
nice,2024-06-09 13:41:32,2.21.0,2
Very good and gives updated info.,2025-05-04 16:46:41,2.44.0,2
perfect,2025-03-25 16:33:17,2.42.0,2
I love the interface and the way it brings up references,2024-01-22 17:47:15,2.9.0,2
"My Go-To AI for Quick Insights I used to struggle with finding reliable sources for my academic papers, but Perplexity AI has made it so easy! It gives me accurate and well-organized information without the hassle of endless searches. Delivers research-backed, trustworthy content Cuts down on research time significantly Ideal for deep learning and professional analysis",2025-02-25 21:12:23,2.40.1,2
it uses Open AI platform to execute command. then why someone will pay money for using it . why they will not use directly open.ai chatgpt,2025-07-04 05:18:05,2.49.3,0
Excellent,2024-02-23 03:35:57,2.11.1,2
nice,2025-01-28 10:37:37,2.38.1,2
very impressive ai tool.,2023-11-28 14:17:17,2.7.0,1
it's Excellent,2025-02-22 21:51:57,2.40.1,2
awesome 👍,2025-03-24 13:27:16,2.40.3,2
I used since yesterday and I'm really impressed of the service.,2024-12-25 23:41:42,2.36.0,2
It's the best ever....,2025-01-02 03:20:49,2.36.0,2
best search engine,2024-01-15 04:54:09,2.9.0,2
"I love this APP! you can use this APP for many things, like sending a professional letter to someone, it to gain information on anything you are researching. What I find most helpful, you can type in a question, it will not only give you an answer , but it will give you the links of where it found its information.",2024-07-02 13:43:11,2.23.0,2
very helpful and good support.,2024-09-03 00:07:13,2.26.1,2
nice,2025-04-21 10:24:13,2.43.0,2
"When I started using Perplexity, it was just getting off the ground. Still, I could tell right away this AI tool was destined to shake things up! It hasn't let me down yet. Sure, there’s a journey ahead to carve out a unique identity as a productivity AI for a global crowd. But let’s be real—the potential, functionality, and user experience are nothing short of impressive when you dive in. Now, the phone app does needs some tidying up, but it’s nothing compared to the desktop versions usability.",2024-12-10 22:51:30,2.35.0,2
Ahhhhhhh sooooo pretty app,2025-02-10 13:17:19,2.39.1,2
another AI filled with its maker's biases.,2024-06-19 21:50:28,,0
best app,2023-11-05 08:23:27,2.5.1,2
the provided answers are not only accurate but also highly relevant and reliable.,2024-01-15 20:04:40,2.9.0,2
super,2025-04-22 12:52:22,2.43.1,2
greatest one,2025-03-24 10:35:11,2.41.1,2
Google se bhi badhiya hai bahi log,2024-01-17 07:12:21,2.9.0,2
Gives sources.,2025-01-26 02:40:12,2.38.0,2
nice,2025-04-02 13:07:57,2.42.0,2
good for me,2025-04-01 03:12:47,2.42.0,2
"She's not that incredible. Terrible at keeping context. I'll type something new, expecting it to create a follow up like GPT does, but it just says it can't find similar search results. I love the idea of citing sources, but I'd rather deal with Google. This is hardly an AI. It's just a streamlined web searcher.",2023-12-18 15:32:38,2.7.0,1
great,2024-01-06 09:37:25,2.8.0,2
Amazing,2024-01-26 16:49:52,,2
incredibly fast,2024-02-02 06:58:31,2.10.0,2
very good aap,2024-01-14 06:23:59,2.9.0,2
My first look is very good,2023-12-07 14:23:20,2.7.0,2
No landscape mode on tablets,2025-02-16 13:54:17,2.40.1,0
I am very satisfied,2025-02-16 22:43:27,2.39.1,2
it's nice I like it,2025-05-11 04:03:27,2.44.1,2
good App 👍,2024-05-17 11:39:06,2.18.2,2
.😀.,2025-03-10 08:00:39,2.40.3,2
nice,2025-04-21 07:24:51,2.43.1,2
cool apps. help me a lot. thank you 👍,2025-01-12 03:06:26,2.35.0,2
muy práctica y facil de usar. recomiendo!!,2024-04-02 17:47:12,2.15.0,2
"Concise Can do many tasks Good at finding up to date info Goes beyond most apps and can do tasks Do booking - Does booking. Ex : Say, “get me an Uber to location,” and Perplexity will handle the booking for you. Of course, you need to grant your location permission beforehand Can summarise your notifications Reminders - Due to deep AI integration and web search, Perplexity can find out the date and set a reminder for you. Ex: say “remind me to watch the next season of squid game""",2025-02-11 17:13:19,2.36.0,2
Livet før og etter Perplexity er helt forskjellig. Bare bruk det i stedet for Google når du søker etter ting. Du vil til enhver tid være den smarteste i rommet.,2025-01-28 21:03:53,2.38.1,2
Really handy,2023-10-03 08:49:54,2.4.0,2
very helpful,2024-12-18 02:08:44,2.35.0,2
incredible tool,2024-08-02 00:11:34,2.25.1,2
awesom than got reference are good and the best . same time image and video features for the result helps much to us,2024-05-11 05:30:07,2.18.2,2
good,2025-05-04 16:24:08,2.44.0,2
Nice,2024-03-31 13:39:54,2.15.0,2
"I love perplexity. However, on my phone, I can't even see the responses from the LLM. Just my input and suggested follow ups.",2025-07-01 04:32:37,2.48.2,0
good,2025-04-16 03:20:28,2.42.0,2
nice,2025-02-18 08:29:14,2.39.0,2
The Best AI tool ever,2025-01-20 19:12:57,2.36.0,2
well app,2024-03-31 15:46:18,2.15.0,2
nice,2024-11-22 17:40:05,2.33.1,2
very good information 👌 free,2024-02-04 02:22:04,2.10.0,2
love Perplexity! Great!,2024-02-21 00:45:15,2.11.1,2
very good,2025-05-04 03:40:25,2.44.0,2
Most of the answer is wrong,2024-07-29 04:48:19,2.23.4,0
doesn't show answers anymore since update. what's the point,2024-04-09 13:34:27,2.17.0,0
great app,2025-03-11 17:02:57,2.40.3,2
nice,2025-06-23 04:13:41,2.48.1,2
it's competitive to chatgpt and Gemini,2024-05-24 05:11:01,2.20.1,2
"No better than web based ai, imo, so bye.",2025-06-09 20:21:19,,1
👏👏👏👏👏wow 👏👏👏👏👏,2023-07-04 19:11:14,1.0.26,2
This is best than chat gpt,2025-04-05 17:28:04,2.43.0,2
the most accurate AI lve used so far,2025-05-13 18:15:32,2.44.1,2
Good 👍,2024-05-17 04:22:19,2.20.0,2
It is excellent,2024-09-03 21:18:03,2.27.1,2
Good AI based search engine. Loving it..,2023-08-14 13:15:28,,2
loved it,2025-06-08 18:37:05,2.47.0,2
good app,2024-11-28 16:46:38,2.34.0,2
This app deserve 5star.,2024-08-25 00:30:37,2.26.1,2
very useful for research,2024-03-27 15:47:07,2.15.0,2
glorious,2025-04-16 21:26:34,,2
cool beans for fre,2025-03-20 00:27:18,2.41.1,2
"None of your app shortcuts work. Like voice, voice to voice and you haven't added the Assistant.",2025-03-05 00:18:08,2.40.3,0
wow Great app,2024-01-24 19:06:53,2.10.0,2
just perfect,2025-02-20 17:41:41,2.40.1,2
*⁠･⁠゜ﾟ⁠(⁠^⁠O⁠^⁠),2025-03-18 20:27:21,2.41.1,2
gud,2025-04-24 08:47:05,2.43.1,2
yes it is useful,2025-05-29 12:50:05,2.46.1,2
best ai tool for learner,2025-05-04 05:54:29,2.44.0,2
Free features wasn't worth downloading the app,2025-02-08 11:11:08,,0
thank 😊 you ❤️ all team 🙏🏻 🙌,2024-01-17 14:18:00,2.9.0,2
goated,2024-05-15 15:24:48,2.18.2,2
very nice app,2024-11-08 15:41:49,2.32.1,2
Great app,2024-09-20 10:30:32,2.29.0,2
"amazing application it,s more wrothy then chat gpt",2025-07-05 13:56:41,2.49.3,2
"could do more, could be more customisable...",2025-05-01 13:00:00,2.44.0,2
It's really cool I hope you try it.,2025-03-17 21:47:59,2.41.1,2
fantastic helper!!,2024-10-28 18:42:51,2.31.2,2
so useful 😃,2024-07-06 18:44:10,2.23.0,2
it's worth a shot,2024-12-09 15:16:20,2.34.1,2
making Google dance.,2024-02-10 07:22:55,2.10.0,2
good AI ever,2025-06-24 09:16:41,2.47.2,2
good app,2024-06-23 19:14:08,2.22.0,2
Proud for Indian,2024-01-23 22:12:47,2.9.0,2
"10x my productivity atleast, i learn better solutions for my business instantly.",2024-02-21 10:27:53,2.11.1,2
bro's chill,2025-05-28 04:07:01,2.46.1,2
excellent 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,2024-01-24 05:41:45,2.10.0,2
Very useful to develop ideas and brainstorm.,2025-05-12 07:51:08,,2
Perfect GENAI APP,2024-09-10 12:05:49,2.27.1,2
very nice,2024-06-01 17:42:39,2.21.0,2
thik application give me quick response.,2025-01-08 10:45:07,2.36.0,2
"Though this was meant to give direct answers. The first result it gave me included the infamous BS words ""multifaceted"" and ""complexed"" ! NOPE SAME OLD SAME OLD. UNINSTALLED !",2024-11-05 12:07:02,,0
very good,2024-02-09 04:00:24,2.10.0,2
nice,2025-02-21 02:45:47,2.40.1,1
forces you into pro mode and hides it in the small print and then makes it nearly impossible to get out of it even if you do realize.,2025-04-12 22:13:56,2.43.0,0
awesome,2024-07-11 16:36:42,,2
it is so good appp,2024-10-15 16:20:10,2.31.0,2
good 👍,2025-05-12 15:31:41,2.44.0,2
"Garbage In, Garbage Out",2025-06-11 15:26:22,,0
v good,2025-04-21 08:39:56,2.43.1,2
good stuff,2024-02-28 16:41:46,2.11.1,2
i have very best experience on perplexity,2025-02-27 06:07:46,2.40.1,2
Beatutiful app. Proud that it is developed in India,2024-01-13 15:30:38,2.8.0,2
my replacement of Google search,2024-04-06 14:32:30,2.15.0,2
So Helpful,2024-08-13 10:09:12,2.25.1,2
Perplexity is perfect for those who wants to get answers with accompanying sources and evidences.,2023-10-25 06:27:56,,2
Waste,2024-01-14 04:20:58,2.9.0,0
perfecto!,2024-08-29 08:38:30,2.26.1,2
"I found out on TikTok at 12 midnight that this app is suitable for finding a job and it turned out to be 100% true, that's why I'm giving it five stars. Ihsan Muhammad khattak.",2025-07-01 05:20:06,2.48.2,2
Very good,2024-12-23 02:09:40,2.35.0,2
useful,2025-04-15 12:41:55,2.43.0,2
ChatGPT is way better and has more freemium features than this app has.,2024-12-25 21:56:17,,0
Perplexity became my go to research tool and glad it's now on Android! (I also use it on an iPad),2023-05-30 16:43:36,1.0.16,2
Nice app very helpful,2024-01-28 11:58:29,2.10.0,2
good for search,2024-01-20 14:00:13,2.9.0,2
good,2024-01-13 17:22:43,2.9.0,2
cool,2025-05-18 16:38:59,2.44.1,2
Best ai appp,2024-12-23 21:20:55,2.35.0,2
Very cool idea.,2024-06-10 23:03:23,2.21.0,2
Love it 😀,2023-11-01 15:54:36,2.6.0,2
its ok,2024-12-04 04:01:24,2.34.1,2
to good in thanks india,2024-01-15 07:08:06,2.9.0,2
"That is not true in the manner that you say it. Absolutely everything you said was disinformation and propaganda. My guess is a lot sooner, maybe 2030 or 2040. We shall see.",2025-07-02 06:09:34,2.48.2,0
easy to use and better then ChatGPT,2024-12-09 09:33:13,2.34.1,2
I liked the app,2024-07-29 22:00:32,2.23.4,2
the best ever,2025-06-18 21:20:08,2.47.2,2
I enjoy this app it's simple to the point and filled with information,2024-12-11 18:37:33,,2
You deserve it,2025-03-30 14:13:37,,2
"so far so good, but can be better (reply a part of the chat, personal Rag, audio...)",2024-06-22 22:47:32,2.22.0,2
fastest tool Perplexity,2025-06-01 02:01:29,2.47.0,2
It's just amazing 😀,2023-12-09 02:36:53,2.7.0,2
I wasn't finished with my question,2025-05-04 05:34:34,2.44.0,0
👍 good,2025-05-25 09:11:26,2.44.1,2
"Perplexity Just ""Ran Me Down In The Street""!"" I'm Floored, Direct, Immediate, Completely Relevant Answer.",2024-06-02 06:26:34,2.21.0,2
Good,2024-12-04 17:38:26,2.34.1,1
very very good,2025-05-31 14:29:33,2.44.1,1
burro ao gerar imagens. muito inferior ao chat gpt,2025-04-02 01:48:06,2.42.0,0
Quite impressive and very helpful 👍,2024-07-19 03:54:00,2.23.3,2
I really enjoy this for whenever I need to be proven right or wrong. And the responses are very quick. i wish I could give this so many more stars. 10/10 app,2025-06-04 03:43:16,2.47.0,2
گووود,2025-06-05 21:37:23,2.47.0,2
"Perplexity AI is amazing! It gives fast, accurate answers with trusted sources. Perfect for studying, work, or daily questions. The follow-up feature feels like chatting with a real expert. Clean UI, no ads, and super helpful. One of the best AI apps I’ve used—highly recommended for everyone! 💯🔥",2025-07-01 12:16:09,2.48.2,2
good,2025-06-20 05:51:06,,2
Amazing app..,2023-10-03 22:21:15,2.4.0,2
I don't exactly remember when I discovered Perplexity but it has been my best finds until now. It has been my search engine for around 6 months now and it has saved me from analysis paralysis several times. All the hassle of going through different links is no longer required. Get a summary of the best resources across web and also find source link of each information. It is like speaking to the internet and getting explained everything you need to know.,2025-02-23 07:51:50,2.40.1,2
Amazing app...the best I've used of the lot of them.,2025-02-17 08:35:19,2.40.1,2
"A good app, and a good AI; very useful for catching up on what's happening.",2023-11-29 13:53:40,2.7.0,2
Amazing ai search app and service. Love it,2023-09-11 08:13:10,2.1.0,2
wow,2025-01-08 19:10:09,2.36.0,2
very pulchritudinous app😘😘,2024-12-13 05:07:44,2.35.0,2
brilliant,2025-04-15 13:12:48,2.43.0,2
super 👍🏻 hai,2024-01-13 14:48:26,2.9.0,2
amazing,2025-02-10 00:08:49,2.39.1,2
Excellent app no words to describe the greatness,2024-02-07 14:40:55,2.11.0,2
good,2025-05-19 15:41:17,2.44.1,2
One of the best search engine I've getting recently. 💫,2024-05-03 13:51:48,2.18.2,1
great,2024-03-07 22:41:12,2.14.0,2
very good ❣️❣️,2024-01-18 01:04:26,2.9.0,2
fantastic and fast 👍⭐⭐⭐⭐⭐,2024-11-14 14:43:48,2.32.1,2
Best,2024-07-17 16:56:37,,2
iloveit,2024-01-22 10:20:51,2.9.0,2
faster than expected,2024-02-09 09:55:06,2.10.0,2
good app,2025-07-01 13:02:34,2.48.2,2
I love the layout and interaction of the AI.,2025-01-24 16:56:25,2.38.0,2
good,2025-05-02 16:36:44,,2
pretty smart.,2024-04-22 22:02:59,2.17.0,2
thanks for the update and for the record I appreciate it,2025-06-09 16:06:40,2.44.1,2
it's ok but more indepth meaning is needed,2025-01-07 09:40:09,2.36.0,2
lots of detailed info for the questions that u ask.,2025-05-29 23:16:32,2.47.0,2
it's the best app for me ❤️ I'm happy using it,2024-08-05 03:01:12,2.25.1,2
"""Absolutely love this app! It’s user-friendly, fast, and packed with amazing features that make my daily tasks so much easier. The design is sleek and intuitive, and the regular updates show the developers really care about improving the experience. Highly recommend to anyone looking for a reliable and efficient app!"" But one problem it's assistant speak article automatically, is there a way to stop assistant auto reading.",2025-05-24 10:51:07,2.46.1,2
It's a amazing app.I have benefited a lot from using this app. This AI is quite advanced.,2025-03-26 16:19:19,2.42.0,2
it can't answer rightly for a question other than English,2025-03-27 05:22:11,2.42.0,1
that's amazing,2024-01-13 20:07:42,2.9.0,2
I love using this app,2025-02-22 03:26:39,2.40.1,2
too awesome,2025-06-02 21:17:13,2.47.0,2
nice app,2024-01-18 12:01:36,2.9.0,0
amezing,2024-12-05 14:53:11,2.34.1,2
supported,2025-03-18 17:49:32,2.41.1,2
Wonderful app but try to summarise,2024-02-13 07:29:12,2.10.0,2
"This app is fantastic! It simplifies many of my tasks, and I highly recommend it. My favorite feature is the auto-suggestion of previously asked questions, which saves me a lot of time and effort.",2024-12-24 14:12:37,2.36.0,2
using in tablets or ipad experience is not good... doesn't work in landscape,2025-06-16 10:40:47,,1
"The responses are often too short, the first letter of the prompt is never auto-capitalized, though it should be.",2024-12-31 13:04:26,,2
i really like it,2024-08-31 17:08:12,,2
Beautiful❤️,2024-12-26 20:18:50,2.36.0,2
I love this app it's very helpful,2025-06-08 17:31:46,,2
ممتاز جدا,2025-03-30 08:28:44,,2
Wow you guys just priced a open souce model .. 👍,2025-02-08 13:59:51,,0
"Amazing app! Super user-friendly and intelligent. Provides quick, helpful responses. Highly recommended🔥",2025-05-25 15:09:42,2.46.1,2
awesome,2024-10-04 11:41:49,2.29.0,2
FONT TOO BIGG! Cannot stop a conversation in between unlike chatgpt. Doesn't remember choices unlike chatgpt. Cannot generate images or flow charts.,2025-04-23 10:29:08,2.43.1,0
superb,2024-04-11 07:22:12,2.17.0,2
Op,2024-12-04 11:27:42,2.34.1,2
best of it,2025-06-29 08:02:17,2.48.2,2
good,2025-06-01 06:51:21,2.47.0,2
very easy to use,2024-12-16 09:35:44,2.35.0,2
vary usefull app Thank to the perplexity creator 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🙏🙏🙏🙏🙏🙏🙏❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🙏,2025-06-11 03:47:08,2.47.0,2
the best app,2025-03-28 07:14:44,2.40.1,2
this app is the best,2025-03-10 04:19:59,2.40.3,2
"Looks like they have their servers connected with ChatGPT. Whenever the GPTs servers are down, perplexity dies too!!",2024-06-04 16:52:49,2.21.0,0
very bad,2025-06-24 16:13:44,2.48.1,0
"not bad at all,, this app is user friendly and accessable to anyone..",2025-02-22 12:27:45,2.40.1,2
Fantastic,2025-07-03 18:36:23,2.48.2,2
The app is the best app of information i have ever used.,2024-06-29 12:19:00,2.22.0,2
very beautiful,2025-04-29 14:54:00,2.43.1,2
This app is awesome 👍,2025-06-13 00:51:13,,2
very helpful,2024-02-03 07:33:00,2.10.0,2
nice,2024-01-14 17:51:28,2.9.0,2
great app,2025-01-05 17:44:57,2.36.0,2
excellent,2025-07-06 10:53:33,2.49.3,2
excellent,2025-04-20 06:14:00,2.43.1,0
"I love chatgpt but this app is just more accessible and indepth, the extra prompts help in deepening background knowledge",2025-04-05 14:26:43,2.43.0,2
"I don't want News, if i need it i will search for it. Please remove those current trending news on first page. Hide it somewhere or give me option to hide it",2025-02-26 02:45:45,2.33.1,0
nice application,2025-05-19 15:04:15,,2
🔥🔥🔥🔥🔥🔥🔥👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,2023-08-07 16:52:44,1.0.29,2
good,2025-03-25 06:05:25,2.42.0,2
Great👍,2025-05-25 11:15:12,2.44.1,2
good,2025-03-21 15:56:05,2.42.0,2
excellent,2024-01-12 17:44:40,2.9.0,2
Perplexity AI is a great app especially for research and students where accurate sources are important. The Pro features allow for flexibility in aelecting the models for different tasks. The features on the basic app give access to many features that are otherwise expensive. This encourages more users to get familiar with AI usage.,2025-02-23 19:06:18,2.40.1,2
good app i will recommend to other people,2024-10-18 01:27:54,2.29.0,2
I love this. Infinitely better than digging through the sponsor infested google search.,2024-05-17 03:22:17,2.18.2,2
so far perplexity has been my best go to for all research and search that I've done on the web as well as any material that I need to find and has been a great tool to have for any thing that I've needed to pull up and get to rather quick. it makes my job so much easier and more efficient and it makes learning much more fun,2024-10-30 10:48:38,,2
amezing 😍😍😍😍😍,2023-12-08 15:38:16,2.7.0,2
I have been using Perplexity since day 1 and it is my favorite app for conducting research in my role as an educator. And 'Spaces' is great way for me and my students to organize all the information that relate to Economics and Business Management.,2025-02-22 06:09:50,2.40.1,2
I like an option aside from Google biased facts and this is it,2024-03-16 16:50:01,2.15.0,2
I have used this app I like it. It can be a competetor of chatgpt but I think you should add the camera scanner in this so that user can also upload photo,2024-09-20 16:33:57,2.29.0,2
this so good and usefull for students and everyone this app is so good,2025-04-02 14:10:36,,2
"Love its feature which provides follow up questions, making it easier to further drill down from your initial inquiry.",2025-07-04 20:27:54,2.49.3,2
wow that's great app,2025-05-21 10:16:54,2.44.1,2
Loved it ❤,2024-05-08 17:13:43,2.18.2,2
A really great search/answer engine that makes Google look obsolete.,2025-01-28 03:11:42,2.38.0,2
❤️,2024-01-27 10:01:45,2.10.0,2
best AI tool ever 👏 🙌🏽,2024-12-18 18:44:44,2.35.0,2
it is aqurate,2024-03-03 09:09:25,2.14.0,2
Amazing tool to make your Research and Daily life easy! ❤️,2025-04-21 05:23:12,2.43.1,2
"I just installed it for the first time, and tapping on the mic button isn't doing anything; even though I've granted it microphone permission through my device's settings.",2024-08-13 05:13:37,2.25.1,1
